"","id_df","title_df","author_df","abstract","keywords"
"1","189445-PA","Computed-Tomography Measurements of Water Block in Low-Permeability Rocks: Scaling and Remedying Production Impairment","Liang, Tianbo, China University of Petroleum, Beijing and University of Texas at Austin| Luo, Xiao, University of Texas at Austin| Nguyen, Quoc, University of Texas at Austin| DiCarlo, David A., University of Texas at Austin","|Summary |Fracturing-fluid invasion into the rock matrix can generate water block that potentially reduces hydrocarbon production, especially in low-permeability reservoirs. Here, we experimentally investigate the dynamics of water block under different flow scenarios (i.e., without shut-ins) and rock permeabilities through multiple coreflood experiments. A computed-tomography (CT) scanner is used to obtain the saturation profile within the core throughout the experiment, while the overall hydrocarbon productivity is measured from the overall pressure drop across the core. |On the basis of the saturation and pressure measurements, we interpret the potential physical mechanism regarding the productivity reduction from water block and its self-mitigation facilitated by the capillary imbibition. Our interpretation also matches the observed scaling with rock permeability and the optimal shut-in time.|","Capillarity, Water Block, Shut In, Low-Permeability Rocks"
"2","184825-PA","A Numerical Model for Simulating Pressure Response of Well Interference and Well Performance in Tight Oil Reservoirs With Complex-Fracture Geometries Using the Fast Embedded-Discrete-Fracture-Model Me…","Yu, Wei, Texas A&M University| Xu, Yifei, The University of Texas at Austin| Weijermars, Ruud, Texas A&M University| Wu, Kan, Texas A&M University| Sepehrnoori, Kamy, The University of Texas at Austin","|Summary |The effect of well interference through fracture hits in shale reservoirs needs to be investigated because hydraulic fracturing is abundantly used in the development of unconventional oil and gas resources. Although numerous pressure tests have proved the existence of well interference, relatively few physical models exist to quantitatively simulate the pressure response of well interference. The objective of the present study is to develop a numerical compositional model in combination with a fast embedded-discrete-fracture-model (EDFM) method to simulate well interference. Through nonneighboring connections (NNCs), the fast EDFM method can easily and properly handle complex-fracture geometries, such as nonplanar hydraulic fractures and a large amount of natural fractures. Using public data for Eagle Ford tight oil, we build a reservoir model including up to three horizontal wells and five fluid pseudocomponents. The simulation results show that the connecting hydraulic fractures play a more-important role than natural fractures in declining bottomhole pressure (BHP) of the shut-in well. Matrix permeability has a relatively minor effect on pressure drawdown, and well productivity remains only slightly affected by the overall low permeability used. The BHP pressure-decline profiles change from convex to concave when the conductivity of the connecting fractures increases. At early times, the BHP of the shut-in well decreases when the number of natural fractures increases. At later times, the natural-fracture density has a lesser effect on the pressure response and no clear trend. The opening order of neighboring wells affects the well-interference intensity between the target shut-in well and the surrounding wells. After a systematic investigation of pressure drawdown in the reservoir, we formulate practical conclusions for improved production performance.|","Hydraulic fracture hits, Shale oil, Complex fracture geometries, Well interference, Natural fractures"
"3","182660-PA","A Physics-Based Data-Driven Model for History Matching, Prediction, and Characterization of Waterflooding Performance","Guo, Zhenyu, University of Tulsa| Reynolds, Albert C., University of Tulsa| Zhao, Hui, Yangtze University","|Summary |We develop and use a new data-driven model for assisted history matching of production data from a reservoir under waterflood and apply the history-matched model to predict future reservoir performance. Although the model is developed from production data and requires no prior knowledge of rock-property fields, it incorporates far more fundamental physics than that of the popular capacitance–resistance model (CRM). The new model also represents a substantial improvement on an interwell-numerical-simulation model (INSIM) that was presented previously in a paper coauthored by the latter two authors of the current paper. The new model, which is referred to as INSIM-FT, eliminates the three deficiencies of the original data-driven INSIM. The new model uses more interwell connections than INSIM to increase the fidelity of history matching and predictions and replaces the ad hoc computation procedure for computing saturation that is used in INSIM by a theoretically sound front-tracking procedure. Because of the introduction of a front-tracking method for the calculation of saturation, the new model is referred to as INSIM-FT. We compare the performance of CRM, INSIM, and INSIM-FT in two synthetic examples. INSIM-FT is also tested in a field example.|","data-driven, reservoir characterization, interwell connectivity, history matching, waterflooding"
"4","181369-PA","Macroscale Mechanical and Microscale Structural Changes in Chinese Wufeng Shale With Supercritical Carbon Dioxide Fracturing","Liu, Qing-You, Southwest Petroleum University and State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation| Tao, Lei, Southwest Petroleum University and State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation| Zhu, Hai-Yan, Southwest Petroleum University and State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation| Lei, Zheng-Dong, PetroChina| Jiang, Shu, China University of Petroleum (East China) and University of Utah| McLennan, John D., University of Utah","|Summary |Waterless fracturing for shale-gas exploitation using supercritical carbon dioxide (scCO2) is both effective and environmentally friendly, and has become an extensive research topic. Previous researchers have focused on the chemical and physical properties and microstructure of sandstone, carbonate, and shale caprock, rather than on the properties of shale-gas formations. The macroscale mechanical properties and microscale fracture characteristics of Wufeng Shale exposed to scCO2 (at greater than 31.8°C and 7.29 MPa) are still not well-understood. To study the macroscale and microscale changes of shale subjected to scCO2, we obtained Chinese Wufeng Shale crops (Upper Ordovician Formation) from Yibin, Sichuan Basin, China. The shale samples were divided into two groups. The first group was exposed to scCO2, and the second group was exposed to nitrogen (N2). Scanning-electron-microscope (SEM) and X-ray-diffraction (XRD) images were taken to study the original microstructure and mineral content of the shale. To study the macroscale mechanical changes of Wufeng Shale immersed in scCO2 or N2 for 10 hours, triaxial tests with controlled coring angles were conducted. SEM and XRD images were taken after the triaxial tests. In the SEM images, tight bedding planes and undamaged minerals (with sharp edges and smooth surfaces) were found in N2-treated samples both before and after testing, indicating that exposure to N2 did not affect the microstructures. However, the SEM images for the microstructure scCO2-treated samples before and after testing were quite different. The bedding planes were damaged, which left some connected microfractures and corrosion holes, and some mineral types were broken into small particles and left with uneven mineral surfaces. This shows that scCO2 can change rock microstructures and make some minerals (e.g., calcite) fracture more easily. The complex microscale fractures and the decrease in strength for scCO2-treated shale aid the seepage and gathering of gas, enhancing shale-gas recovery. Knowledge of the multiscale physical and chemical changes of shale exposed to scCO2 is not only essential for scCO2 fracturing, but it is also important for scCO2 jets used to break rock and for the geological storage of CO2.|","microstructure, Chinese Wufeng shale, supercritical carbon dioxide, triaxial compression experiment, multiscale characteristics"
"5","181428-PA","Large-Scale Testing and Modeling for Cement Zonal Isolation in Water-Injection Wells","Therond, Emmanuel, BP| Bois, Axel-Pierre, CURISTEC| Whaley, Kevin, BP| Murillo, Rodriguo, BP","|Summary |Water injection into soft sand is a global industry challenge because of the complex problem of maintaining sustained water-injection rates into the desired reservoir. Drilling, cementing, and completion engineers are addressing each technical and operational aspect of water injectors, including cement isolation. Cement serves as a barrier during well construction through to post-abandonment. It contributes to ensuring that no out-of-zone water injection occurs because of flow behind casing. If water does go out of zone, new drilling hazards that are a result of water breaching and a loss of reservoir management will occur. |At present, as far as we know, the industry does not have a systematic methodology for defining and verifying the required physical and mechanical properties of the cement to endure water-injection service and to retain its isolation capability during well life. Cement-integrity simulators (CISs) provide different answers, mainly because they all assume a different initial stress-state in the cement after hydration. As a consequence, a new CIS model that computes this stress state has been developed, along with a large-scale testing setup to validate its predictions. |The new model incorporates key-design parameters of effective CIS models: (1) The initial stress state after cement hydration is computed; (2) varying loadings that the cement sheath is submitted to are simulated; (3) the elasticity, plasticity, and failure of materials are taken into account; (4) the simulations are fast enough to facilitate sensitivity analysis; and (5) the model outputs allow the visualization of cement integrity across the entire length of the cement sheath, adjacent to reservoirs and to seals. |Parallel to the modeling work, a large-scale test apparatus was built to evaluate cement zonal isolation under water-injection pressure and temperature conditions. Its objective was to generate pressure and temperature cycles inside sections of cemented casing assemblies to replicate the conditions of pressure and temperature variations in a water-injection well. |The results of the test confirmed the accuracy of the new CIS model. They also showed that cooling because of water injection had a bigger impact on cement integrity than increasing pressure. In addition, the results showed that microannulus generation had more effect than tensile cracking in terms of cement-barrier-permeability increase.|","cementing, water injection, cement, zonal isolation"
"6","180260-PA","Analysis of Effective Porosity and Effective Permeability in Shale-Gas Reservoirs With Consideration of Gas Adsorption and Stress Effects","Pang, Yu, Texas Tech University| Soliman, Mohamed Y., University of Houston| Deng, Hucheng, Chengdu University of Technology| Emadi, Hossein, Texas Tech University","|Summary |Nanoscale porosity and permeability play important roles in the characterization of shale-gas reservoirs and predicting shale-gas-production behavior. The gas adsorption and stress effects are two crucial parameters that should be considered in shale rocks. Although stress-dependent porosity and permeability models have been introduced and applied to calculate effective porosity and permeability, the adsorption effect specified as pore volume (PV) occupied by adsorbate is not properly accounted. Generally, gas adsorption results in significant reduction of nanoscale porosity and permeability in shale-gas reservoirs because the PV is occupied by layers of adsorbed-gas molecules. |In this paper, correlations of effective porosity and permeability with the consideration of combining effects of gas adsorption and stress are developed for shale. For the adsorption effect, methane-adsorption capacity of shale rocks is measured on five shale-core samples in the laboratory by use of the gravimetric method. Methane-adsorption capacity is evaluated through performing regression analysis on Gibbs adsorption data from experimental measurements by use of the modified Dubinin-Astakhov (D-A) equation (Sakurovs et al. 2007) under the supercritical condition, from which the density of adsorbate is found. In addition, the Gibbs adsorption data are converted to absolute adsorption data to determine the volume of adsorbate. Furthermore, the stress-dependent porosity and permeability are calculated by use of McKee correlations (McKee et al. 1988) with the experimentally measured constant pore compressibility by use of the nonadsorptive-gas-expansion method. |The developed correlations illustrating the changes in porosity and permeability with pore pressure in shale are similar to those produced by the Shi and Durucan model (2005), which represents the decline of porosity and permeability with the increase of pore pressure in the coalbed. The tendency of porosity and permeability change is the inverse of the common stress-dependent regulation that porosity and permeability increase with the increase of pore pressure. Here, the gas-adsorption effect has a larger influence on PV than stress effect does, which is because more gas is attempting to adsorb on the surface of the matrix as pore pressure increases. Furthermore, the developed correlations are added into a numerical-simulation model at field scale, which successfully matches production data from a horizontal well with multistage hydraulic fractures in the Barnett Shale reservoir. The simulation results note that without considering the effect of PV occupied by adsorbed gas, characterization of reservoir properties and prediction of gas production by history matching cannot be performed reliably. |The purpose of this study is to introduce a model to calculate the volume of the adsorbed phase through the adsorption isotherm and propose correlations of effective porosity and permeability in shale rocks, including the consideration of the effects of both gas adsorption and stress. In addition, practical application of the developed correlations to reservoir-simulation work might achieve an appropriate evaluation of effective porosity and permeability and provide an accurate estimation of gas production in shale-gas reservoirs.|","nanoscale, Effective porosity and permeability, adsorption"
"7","179164-PA","Integration of Dynamic Microseismic Data With a True 3D Modeling of Hydraulic-Fracture Propagation in the Vaca Muerta Shale","Haddad, Mahdi, The University of Texas at Austin| Du, Jing, Total E&P| Vidal-Gilbert, Sandrine, Total E&P","|Summary |Microseismic mapping during the hydraulic-fracturing processes in the Vaca Muerta (VM) Shale in Argentina shows a group of microseismic events occurring at shallower depth and at later injection time, and they clearly deviate from the growing planar hydraulic fracture. This spatial and temporal behavior of these shallow microseismic events incurs some questions regarding the nature of these events and their connectivity to the hydraulic fracture. To answer these questions, in this article, we investigate these phenomena by use of a true 3D fracture-propagation-modeling tool along with statistical analysis on the properties of microseismic events. |First, we propose a novel technique in Abaqus incorporating fracture intersections in true 3D hydraulic-fracture-propagation simulations by use of a pore-pressure cohesive zone model (CZM), which is validated by comparing our numerical results with the Khristianovic-Geertsma-de Klerk (KGD) solution (Khristianovic and Zheltov 1955; Geertsma and de Klerk 1969). The simulations fully couple slot flow in the fracture with poroelasticity in the matrix and continuum-based leakoff on the fracture walls, and honor the fracture-tip effects in quasibrittle shales. By use of this model, we quantify vertical-natural-fracture activation and fluid infiltration depending on reservoir depth, fracturing-fluid viscosity, mechanical properties of the natural-fracture cohesive layer, natural-fracture conductivity, and horizontal stress contrast. The modeling results demonstrate this natural-fracture activation in coincidence with the hydraulic-fracture-growth complexities at the intersection, such as height throttling, sharp aperture reduction after the intersection, and multibranching at various heights and directions. |Finally, we investigate the hydraulic-fracture intersection with a natural fracture in the multilayer VM Shale. We infer the natural-fracture location and orientation from the microseismic-events map and formation microimager log in a nearby vertical well, respectively. We integrate the other field information such as mechanical, geological, and operational data to provide a realistic hydraulic-fracturing simulation in the presence of a natural fracture. Our 3D fracturing simulations equipped with the new fracture-intersection model rigorously simulate the growth of a realistic hydraulic-connection path toward the natural fracture at shallower depths, which was in agreement with our microseismic observations.|","hydraulic-natural fracture interaction and intersection, microseismic, pore pressure cohesive zone model, the Vaca Muerta Shale, 3D fully-coupled poroelastic-fracturing analysis"
"8","187938-PA","An Iterative Response-Surface Methodology by Use of High-Degree-Polynomial Proxy Models for Integrated History Matching and Probabilistic Forecasting Applied to Shale-Gas Reservoirs","Wantawin, Marut, University of Texas at Austin| Yu, Wei, Texas A&M University| Dachanuwattana, Silpakorn, University of Texas at Austin| Sepehrnoori, Kamy, University of Texas at Austin","|Summary |Response-surface methodology (RSM) has been widely used in the petroleum industry as an assistive tool for numerical-reservoir-simulation studies. Instead of generating simulation cases exhaustively to solve history-matching (HM) problems, proxy models that are created by RSM provide useful benefits in terms of simplicity and computational efficiency. However, the capability of proxy models to fully capture uncertainty ranges of HM results and production forecasts might be deficient in complex problems if the simplified proxy models only deliver partial solutions. Hence, to decide whether the uncertainty-assessment process by proxy models is complete, the models should deliver as many HM solutions as required to build probability distribution of production forecasts. Therefore, we developed the work flow to combine both processes into an integrated proxy-based approach that searches for the accepted HM solution while probabilistic forecasts are evaluated simultaneously. In addition, the combined work flow is an iterative approach. It gradually modifies the proxy models dependent on the increasing number of completed simulation runs, which continually update the original proxy model into higher degree of polynomial. The use of higher-degree-polynomial equations appears to have the benefit to provide an expanded set of HM solutions inside the uncertain parameter space compared with the commonly used quadratic form. More solutions found from the iterations could eventually approximate wider uncertainty ranges of probabilistic forecasts, which is consistent with the direct Markov-chain Monte Carlo (MCMC) method but with a significant reduction of simulated cases. Finally, this paper applies the proxy-based approach to a reservoir-simulation model containing a horizontal hydraulic-fractured well in the Marcellus Shale formation. This proxy-based approach helps assess the uncertainty of reservoir and fracture properties of unconventional reservoirs. Also, it is useful for evaluating the ranges of ultimate gas recovery.|","Markov Chain Monte Carlo, History Matching, Response Surface Methodology, Shale Gas, Probabilistic Forecasting"
"9","2017-V58N6A5","Impact of Different Cleaning Methods on Petrophysical Measurements","Gupta, Ishank, University of Oklahoma| Rai, Chandra, University of Oklahoma| Tinni, Ali, University of Oklahoma| Sondergeld, Carl, University of Oklahoma","|Abstract |The Gas Research Institute (GRI) conducted pioneering work on measuring shale petrophysical properties in the 1990s, however, despite growing interest in shales, there are still no set standards with respect to obtaining core petrophysical measurements due to the inherent complexity of shales. Core cleaning is one aspect of this problem. |The objective of this study is to shed some light on the shale core-cleaning conundrum. The study shows the cleaning impact of different solvents on samples from different maturity windows and having different in-situ fluids. It also compares the cleaning efficiency between plug and powdered samples. Different cleaning apparatus, such as the high-pressure extractor (HPE) and the Soxhlet extractor, are also compared. |Different measurements, such as source-rock analysis (S1 and S2 values); gas chromatography-mass spectrometry (GC-MS) extraction analysis; Brunauer-Emmett-Teller (BET) surface area and pore-size distribution help to understand the dynamics of core cleaning. This study was carried out on samples from the Wolfcamp and Eagle Ford formations. |Cleaning has a major impact on various petrophysical properties like porosity (increases up to 50%), S1 (decreases up to 90%) and surface area (increases by 450%). This study showed that cleaning time is a function of maturity and sample state. Samples in the oil-maturity window are much more difficult to clean compared to the samples in the gas-maturity window. Similarly, plug samples are more difficult to clean compared to the crushed samples. Our study shows that toluene, dichloromethane (DCM) and chloroform have similar cleaning efficiencies but n-heptane is less efficient. |Introduction |Coring is an integral part of any exploration program. The planning for a coring program, coring fluids and corehandling procedures at the wellsite are all very important for preserving the core and getting accurate measurements in the laboratory.|","Document Type
                        Journal Paper
                            Pages613 - 621
                        Language
                        English
                            ISSN
                            1529-9074
                        Copyright
                        2017. Society of Petrophysicists & Well Log Analysts"
"10","1217-0028-JPT","The Problems With Bigger Fracs in Tighter Spaces","Rassenfoss, Stephen, JPT Emerging Technology Senior Editor","|When a new well is being fractured, anyone with a producing well nearby needs to look out for hits. |The hydraulic pressure used to fracture a new well is likely to be felt in older wells nearby because fractures tend to grow toward zones where the pressure has been depleted by production. |“It is unrealistic to expect total avoidance in formations such as the Eagle Ford, Woodford, and Bone Springs,” said Mike Rainbolt, completions engineer, senior advisor for Apache Corp., adding “let me rephrase that—it is impossible.” |The risk of a hit is high in those plays in Texas and Oklahoma because hydraulic fracturing there is likely to create long planar fractures, whose growth can be magnified by aggressive fracturing designs used to maximize liquids production. |Damage caused by “frac hits” is the high-profile problem that has fanned interest in the larger, but less obvious issue of how fracturing affects the reservoir between tightly spaced wells. Rainbolt presented a 43-page paper by Apache (SPE 187192) at the 2017 SPE Annual Technical Conference and Exhibition in October, which offered a broad look at the problem with examples and ideas on how to manage it. |The impact of a hit can be big and immediate. The Apache paper included a look at a well whose production dropped 65% after a hit and remained down until it was treated. |But these fracturing-driven interactions may only be apparent with production analysis. Apache’s study found one pair of wells where the area fractured by the second well overlapped with the original well. As a result, it said “the existing well could have produced the reserves without the infill well.” |Tightly spaced wells fractured using more water and sand are producing more oil, “but if you look at the incremental production per frac, you see it is going down,” said George King, the lead author on the paper and the global technology distinguished engineering advisor for Apache. |King is leading an effort with Ali Daneshy, president of Daneshy Consultants International, to produce an SPE technical paper commissioned by the SPE Board of Directors on fracturing-driven interactions due in the spring.|","Document Type
                        Journal Paper
                            Pages28 - 34
                        Language
                        English
                            ISSN
                            0149-2136
                        Copyright
                        2017. Copyright is held partially by SPE. Contact SPE for permission to use material from this document."
