"","id_df","title_df","author_df","abstract","keywords"
"1","2015-5906171","Utilization and Interpretation of High-Confidence Microseismic Source Mechanisms","Diller, David E., NanoSeis| Shuck, Ted, NanoSeis| Fish, Barry, NanoSeis","|Summary
We examine some of the advantages of surface microseismic monitoring and suggest ways in which these advantages can be used to improve the utilization and interpretation of microseismic results. In particular, we show that microseismic events with high-confidence source mechanisms can be used to directly construct fracture networks.
Introduction
Surface microseismic monitoring and downhole microseismic monitoring each offer trade-offs in value. The recognized technical advantages of downhole monitoring include significantly greater numbers of detected events and better depth accuracy; the recognized technical advantages of surface monitoring include better horizontal spatial accuracy and better characterization of the event source mechanisms (Eisner et al., 2011).
Accurately located high-confidence events with well-determined source mechanisms can change our interpretation strategy for microseismic data. Instead of interpreting clouds of events, which requires a statistical approach to infer the presence of fractures, we can build an interpretation, and a fracture network, directly from individual events that each provides a meaningful indication of the presence of a fracture. We call such a fracture network an Event-Guided Fracture Network.
Basic Methodology: Image Domain Pattern Recognition
Classic inversion for source mechanisms from microseismic data requires the identification of the amplitude and polarity of the first arrivals of events in the time domain, which requires much higher signal/noise ratios than are commonly available in surface microseismic data (Eaton and Forouhideh, 2011). For this reason in surface microseismic surveys the source mechanisms may be determined for only a few large events, and smaller events are sometimes assumed to have similar mechanisms. However, it is likely that large events and small events actually have very different mechanisms. For example large events may be related to faulting while smaller events may be related to newly-created hydraulic fractures.
Image Domain Pattern Recognition can be used to determine the source mechanisms of microseismic surface events with very low signal/noise ratios. Figures 1a and 1b illustrate the technique. Figure 1a shows prestack traces from an obvious strike-slip event, after correction for the travel times. The polarity reversals from the radiation pattern are evident in the time domain in the left panel of Figure 1a, and the right panel of Figure 1a shows the event in the image domain. The four lobes of the event are an imaging artifact that is caused by the polarity reversals in the radiation pattern. Figure 1b shows the same event, but with noise added that is 20 times higher than the RMS level of each input trace. After noise is added the event is no longer visible in the prestack traces, and is now a “sub-visible” event. The lobes of the event are still visible in the image domain, and these image lobes can be used to determine the source mechanism. In both cases the source mechanism solution is shown by an inset “beachball” display. The noise caused the solution to result in a slightly different dip, and with a small crack-opening component, but the solutions are quite similar considering that in one case the event is completely buried in noise. The challenge in pattern recognition techniques such as this is computing efficiency (Bagon and Galun, 2011), but for hydraulic fracturing we can benefit by restricting the solutions to those that are geologically reasonable.|","microseismic, monitoring,  interpretation"
"2","2015-5930587","A First-Arrival Wavelet Based Rotation Strategy for 3D-3C Data: A Case Study from Rock Springs Uplift, Wyoming","Shukla, Khemraj, Oklahoma State University| Jaiswal, Priyank, Oklahoma State University| Mallick, Subhashish, University of Wyoming","|Summary
Data rotation from the field coordinate system (parallel and perpendicular to the receiver lines) to the natural coordinate system (axes of maximum and minimum shear-wave amplitudes) is a critical step in multicomponent processing. At present, there is a general lack of rotation methods that are free of interpretation or picking biases. This study presents a rotation method that is based on construction of hodograph from first arrival wavelets of the two mutually perpendicular horizontal component geophones. Ease of identification of the first-arrival wavelets reduces the bias in hodograph construction and, in turn, the interpretation of the natural coordinate system. The proposed methodology is applied to a 3D-3C dataset from Rock Springs Uplift, Wyoming, USA, which is a high priority CO2 sequestration site. The natural coordinate system independently established by hodographs of four source-receiver pairs spread across the survey, indicating that the regional fracture trend is 26.60± 5°NNE. The results are also supported by the field geology, strongly suggesting first arrival hodograph construction as a viable means for data rotation in multicomponent processing. |Introduction
In multicomponent acquisition, particle motion is simultaneously recorded along the three principle axes. The benefit of such a recording is the possibility of reconstruction of the full wavefield, which is always more effective in delineating the subsurface rock properties than single component data. Multicomponent processing requires a more holistic approach than their P-wave counterparts. For every shot-receiver pair in a multicomponent survey, a coordinate system can be imagined where one axis radially point away from the shot. When the 3C data are being recorded in a homogeneous isotropic subsurface, the radial horizontal component phone will record the maximum S-wave amplitude. Naturally, the transverse horizontal component phone will record the minimum S-wave amplitude. In the presence of anisotropic sources such as fractures, polarized stress fields and preferentially oriented grains or their combinations, the subsurface becomes birefringent and splits the shear wave into a fast and a slow phase. The plane of maximum S-wave amplitude does not remain radial to the source anymore. The two mutually perpendicular S-wave polarization planes set the natural coordinate system of the survey area. Determining the natural coordinate system can become important, for example, when a reservoir has fracture-induced anisotropy (Thomsen, 1988) and or shot orientation needs to be defined in hydraulic fracturing (Zoback, 2010), or in carbon dioxide (CO2) sequestered studies, where the natural coordinate systems may correspond to the directions of the maximum and minimum in-situ stress fields in the overlying seals.|","case history,  wavelet, 3-C,  converted wave,  multicomponent"
"3","2015-5884551","Coupled Geomechanical and Fluid Flow Modeling for Injection Induced Seismicity Prediction","Tutuncu, Azra N., Petroleum Engineering Department and Unconventional Natural Gas and Oil Institute (UNGI), Colorado School of Mines| Bui, Binh T., Petroleum Engineering Department and Unconventional Natural Gas and Oil Institute (UNGI), Colorado School of Mines","|Summary
While creating the a lift for local economies and technological advancements, shale gas development also has raised significant concern on surface and groundwater contamination, air pollution, and more recently induced seismicity and geo-hazard risks. In this study, the stress alteration along a fault is estimated using coupled geomechanics and fluid flow modeling. Examples from gas shale and shale oil reservoir hydraulic fracturing and waste disposal operations are provided toward a better understanding and predictive methodology for induced seismicity. The role of various factors on induced seismicity due to fluid injection is discussed. It is shown that microseismic monitoring along with coupled geomechanics and fluid flow models and statistical analysis of the microseismic data can provide a good lead on prediction of fault reactivation and induced seismicity.|Introduction
In the United States, the states with large petroleum reserves and significant unconventional development activities are considered to be the areas with minor seismicity and very little potential earthquakes. However, recent sizable earthquakes (2 - 5.3 Richter) in these low seismicity areas in the states of Texas, Colorado, Pennsylvania and Ohio have raised further concerns and associated interest in the role of fluid disposal as well as the hydraulic fracturing and production on induced seismicity.
The U.S. Geological Survey (USGS) recently reported more than 300 earthquakes magnitude M > 3 Richter in the period between 2010 and 2012 compared to an average rate of 21 events per year in the period of 1967–2000. Most events are associated with waste disposal or water injection for enhanced hydrocarbon recovery. Magnitude of these small earthquakes tends to increase as the total injected fluid volumes. Injection pressures and the rates have been studied among the key influencing factors of these tremors.
Microseismic events induced from the hydraulic fracturing operations typically vary in magnitude from –4.0 to –1.0. Induced seismicity from the wastewater injection, as stated in National Research Council report (2012), has occurred in less than 1% of the injection wells. Induced seismicity with magnitude M > 1 Richter scale from hydraulic fracturing operations is also very rare while there is more recorded evidence of induced seismicity activities with higher energy release from enhanced geothermal system operations.|","faults, pore pressure,  induced seismicity,  tectonics,  fracture stimulation"
"4","2015-5853108","Identification of Fault-Controlled Damage Zones in Microseismic Data – An Example from the Haynesville Shale","Jin, Lei, Stanford University| Zoback, Mark, Stanford University","|Summary
Fault-controlled damage zones have important implications for fluid flow in fractured reservoirs. We present here a methodology for identification of fault-controlled damage zones in microseismic data using a dataset from the Haynesville shale. We first develop a discrete fracture network (DFN) model of the pre-existing faults shear activated during hydraulic fracturing stimulation. We utilize the DFN to reveal fracture concentrations, diagnostic of fault damage zones. The DFN also reveals a planar zone of diminished microseismic events which we hypothesize are correlative with the fault itself. In support of this interpretation, we show that fault density in the damage zones drops off with distance from the fault according to a power law F=F0r-n which has been observed in faultcontrolled damage zones at other locations 
Introduction|Microseismic events induced during hydraulic fracturing stimulation provide a valuable opportunity to constrain information of subsurface faults (e.g., Deichmann et al., 2014; Stabile et al., 2014; Block et al., 2015). In this study, we present a method for fault identification based on detection of fault-controlled damage zones in microseismic data recorded during multi-stage hydraulic fracturing. We illustrate this method using a data set recorded in the Haynesville shale.
For this study, we choose a microseismic event catalog containing 3159 events that were recorded by a down-hole seismic array during stimulation of a horizontal well located in Haynesville shale (figure 1). We assume each microseismic event was generated from shear slip on a preexisting fracture due to the pore pressure increase during hydraulic fracturing stimulation. We also assume each event location denotes the center of an activated fracture. However, for the very small source dimensions of these events (see below) this is not an important assumption. The shear fracture size can be constrained through event moment magnitude using well-established scaling laws among seismic source parameters. |","unconventional, faults,  fracture stimulation,  microseismic,  fractures"
"5","2015-5869039","High-Fidelity 4D Forward Modelling as part of a Redefined Closed-Loop Seismic Reservoir Monitoring Framework: A Case Study","Eggenberger, Kurt, Schlumberger| Hill, David, Schlumberger| Lowden, Dominic, Schlumberger| Sonika, Sonika, Schlumberger| Paydayesh, Mehdi, Schlumberger","|Summary
Forward modelling is a fundamental part of time-lapse seismic feasibility studies and closed-loop seismic reservoir monitoring schemes. The forward modelling workflow represents a complex interaction between multiple domains, each contributing its own set of assumptions, models, and simplifications, based on a priori information. To allow for the best use of the modelled data, the aim ought to be to keep the level of modelling-introduced noise as low as possible to allow for an optimized decision making process on the specifics of a particular time-lapse seismic project. These considerations will have a profound impact on cost and production. It is therefore key to keep 4D signatures subsurface-relevant, avoiding any contributions from low-fidelity forward modelling. To address this challenge, the paper at hand offers a redefined closed-loop seismic reservoir monitoring framework that draws from and caters for a field-scale dynamic integrated Earth model. The validity of the framework and its implications are demonstrated using the purpose built Chimera model which comprises a four-way closure, faulted structure, and represents a turbidite-type reservoir with clastic depositional sequence. 
Introduction
Literature produces many successful examples of timelapse seismic case studies, with carefully analyzed 4D signatures. Calvert (2005) and Johnston (2013) offer detailed insight in this regards, by also simultaneously sketching the state-of-the-art of time-lapse seismic processing. However, quantitative and even qualitative comparisons of differences between predicted and actually measured time-lapse seismic data are much less performed and discussed in open literature, despite the obvious benefit for model reconciliation. An explanation can be found in the assumptions and methodology used for the feasibility study which can be too simplistic to warrant for a meaningful comparison.
When examining 4D signatures, it often turns out that the observed 4D signal is considerably bigger, smaller or different in shape than what was expected from the preceding feasibility study, producing an e term. Given the level of uncertainty within a 4D feasibility study performed, such a mismatch is even expected and the <U+03B5> term can be further decomposed into three chief elements:|","time-lapse,  monitoring,  4D, modeling,  reservoir characterization"
"6","2015-5838379","Geomechanical Assessment of Seismic Potential from Hydraulic Fracturing","Maxwell, S. C., IMaGE| Zhang, F., IMaGE| Damjanac, B., IMaGE","|Summary
A coupled hydro-mechanical model is used to evaluate fault activation associated with hydraulic fracturing in the Horn River Basin. The model is used to simulate hydraulic fracture growth through a discrete fracture network, examining the pore pressure diffusion and associated fracture dilation and shearing. Based on the geomechanics, the seismic activity can be predicted and used to compare with the actual seismicity monitored during the fracture treatment. The synthetic microseismic prediction includes location, timing and magnitude of the activity and can be used to validate the geomechanical attributes and calibrate the model to match the field data. Applying such a microseismic geomechanics approach not only improves the interpretation of the microseismic image but also improves the understanding of the geomechanical response of the reservoir.
In this study, the impact of the hydraulic fracturing on a preexisiting fault was examined to quantify seismic hazard. A geomechancial model was created to investigate a Horn River Basin hydraulic fracture and the associated seismic magnitudes. The model was designed to investigate the mechanism of fault activation and the impact of fracturing at different locations around the fault. The study indicated that the stimulated fracture network had to grow directly into the fault in order for the injection pressure front to trigger fault slip. Geomechanical assessment of absolute seismic hazard can be used to modify the engineering design prior to operations to minimize the seismic hazard including the placement of the well, and modifiy staging along the well to avoid fracturing in the regions likely to lead to fault activation. In scenarios where induced seismicity occurs during the treatment, the method can also be used to examine operational changes to lessen the relative seismic hazard. 
Introduction|With hightened public concerns of environmental issues with hydraulic fracturing, attention is raising around the few isolated cases of injection-induced seismicity. An increasing number of reports have recently been made of felt seismicity associated directly with hydraulic fracture treatments or disposal of waste water from extraction of unconventional resources. In order to safely and efficiently develop unconventional reservoirs in areas of concern, industry protocols have been developed to deal with induced seismicity issues. Typically these protocols rely on local seismic monitoring to define traffic light systems, where operations are modified depending on the seismicity levels. As part of these protocols, methodologies are required to assess the seismic hazard both prior to the initiation of operations in addition to modifications to planned operations when required by traffic light levels.|","interpretation,  earthquake,  induced seismicity,  microseismic,  modeling"
"7","2015-5884877","The Determination of Reservoir Poroelastic Properties from Oscillating Pore Pressure Method","Hasanov, Azar, Colorado School of Mines| Batzle, Michael, Colorado School of Mines| Prasad, Manika, Colorado School of Mines","|Summary
We demonstrate that the oscillating pore pressure method is suitable for measuring basic set of rock’s poroelastic properties, such as drained bulk modulus, Biot-Willis and Skempton’s coefficients. The oscillating pore pressure method has been initially developed as a method to determine hydraulic properties of rocks (Kranz et al., 1990; Fischer, 1992). We equip our samples with strain gages and subsequently measure deformation, caused by a harmonic pore pressure pulse, propagating through sample’s porous space. By doing so we simultaneously determine poroelastic and hydraulic properties. One of the main goals of the poroelastic measurement is to improve the estimation of the storage capacity from purely hydraulic pore pressure oscillating method. We show that the storage capacity values from the oscillating pore pressure method alone are overestimated by the order of magnitude; measured poroelastic properties for the tested samples are in agreement with literature data. Hence, oscillating pore pressure method is capable of accurately measuring poroelastic properties. |Introduction
The oscillating pore pressure method for measurements of permeability and storage capacity has been previously presented in details (Kranz et al., 1990; Fischer, 1992; Song and Renner, 2007). It is based on inducing time-harmonic diffusive fluid flow through the porous sample and subsequent measurement of the upstream and downstream pressure signals. The propagated through the specimen pressure sinusoid is always phaselagged and attenuated on the downstream side. Once the amplitude ratio and phase has been calculated, we can solve the diffusivity equation with oscillatory boundary conditions and estimate the permeability and storage capacity of the sample.
Although it allows accurate determination of permeability, the estimation of the storage capacity yields large errors, sometimes on the order of several magnitudes (Bernab<U+00B4>e et al., 2006). As mentioned by Bernab<U+00B4>e et al. (2006) the values of the storage capacity are particularly uncertain if the experiment employs large downstream reservoirs. This is usually done in case of high permeability samples (100 mD and higher) in order to achieve measurable phase and amplitude ratio of the two pressure signals. 
The storage capacity of the sample is a poroelastic constant, responsible for fluid storage in the sample and defined as (Wang, 2000; K<U+00A8>umpel, 1991): |","reservoir characterization,  rock physics,  media incompressibility,  pore pressure,  permeability"
"8","2015-5839756","Modeling Elastic Waves with Lattice Spring Model","Xia, Muming, China University of Petroleum| Zhou, Hui, China University of Petroleum| Zhang, Qingchen, China University of Petroleum| Chen, Hanming, China University of Petroleum| Dou, Yuzhao, China University of Petroleum","|Summary
In this paper, the Lattice Spring Model (LSM) is adopted in forward modeling of elastic waves propagation in solid medium by combination with the Verlet Algorithm. Different from the traditional methods, such as Finite Difference Method (FDM), Finite Element Method (FEM) etc., LSM is a new method which is not based on the wave equations, but on the microcosmic mechanism that causes wave propagation. Firstly, the origin and history of LSM is introduced. Secondly, the theoretical framework of LSM is elaborated and a stability condition for the evolution of this system is deduced. Then, some numerical results of LSM are demonstrated and they are compared with the wave fields obtained by FDM. Finally, a brief conclusion is drawn based on the previous discussions. 
Introduction
First devised by Grest and Webman in 1984, Lattice Spring Model (LSM) is a collection of linear springs connected at nodes distributing on a cubic lattice used for describing solid medium (Grest and Webman, 1984; Hassold and Srolovitz, 1989). In order to model materials of different Poisson’s ratios, angular springs are added to the original linear spring system (Wang, 1989). Ladd and Kinney (1997) developed this model by taking the idea of elastic element to improve its calculation precision. Such a simple model is sufficient to simulate heterogeneous elastic medium, and its application can be seen in modeling deformation and failure (Ladd and Kinney, 1997; Buxton et al., 2001; Zhao et al., 2011).
As is known to all, extensive research has been performed to solve the dynamic problems involving waves, and FDM is the most frequently used numerical method, which solves the wave equation by finite difference approximation of its partial derivative (Toomey and Bean, 2000). Yim and Sohn (2000) adopted a model similar to LSM for visualization of ultrasonic waves, but the evolution of wave fields are calculated by FDM. Pazdniakou and Adler (2012) made a further introduction of LSM and laid the foundation for its potential application in wave propagation in porous media in the low frequency band. Xia et al. (2014) modeled P waves from low frequencies (seismic frequency) to high frequencies (sonic log frequency) by importing a stability conditional for LSM dynamics. |","algorithm,  modeling,  elastic,  wave propagation,  heterogeneous"
"9","2015-5737359","Characterization Of A Fracture Zone Using Seismic Attributes At The In Salah CO2 Storage Project","Zhang, Rui, University of Louisiana at Lafayette| Vasco, Donald, Lawrence Berkeley National Laboratory| Daley, Thomas M., Lawrence Berkeley National Laboratory| Harbert, William, University of Pittsburgh","|Summary
The In Salah carbon dioxide storage project in Algeria has injected over 3 million tonnes of carbon dioxide into a waterfilled tight-sand formation. During injection interferometric Synthetic Aperture Radar (InSAR) revealed a doubled lobed pattern of up to 20 m surface uplift above the horizontal leg of an injection well. Analysis indicates this surface uplift comes from the injection of CO2 in this well. We follow previous interpretation of the pattern of depression between two lobes as caused by the opening of a sub-vertical fracture or damage zone at depth above the injection interval, which allows injected CO2 to migrate upward. Interpretation of 3D seismic data reveals the presence of a subtle linear push-down feature located along the InSAR determined surface depression between the two lobe, which we interpret to have to be caused by anomalously lower velocity from the fracture zone and the presence of CO2 displacing in this feature. To enhance the seismic interpretation, we calculated many seismic attributes, including positive and negative curvatures and ant track, from the 3D seismic data. The maximum positive curvature attributes and ant-track shows the clearest linear features, with two parallel trends, which agrees well with ant-track volume and the InSAR observations of the depression zone. The seismic attributes provide a plausible characterization of the fracture zone extent, including height, width and length, which provides important constraint for further study of fracture behavior due to the CO2 injection at In Salah.
Introduction
The In Salah Gas project (a joint venture between Sonatrach, BP, and StatoilHydro) located in the central region of Algeria is one of the world’s first industrial scale CO2 storage projects to be associated with a producing gas field. Natural gas produced from the Krechba field is high in CO2, which is separated and injected into the water leg of the field for geological storage and to help maintain formation pressure. Hirst et al. (2001) described and highlighted sequence stratigraphic subdivision on the stratigraphic column of the area. Over a period of about 8 years, 0.5 to 1.0 million tons of CO2 per year were injected into a 20m thick, water-filled, Carboniferous formation (horizon C10.2 in Figure 1) with relatively low permeability. A high gamma ray log response associated with horizon C20.1 and C20.4 (referred to as “hot” shales, Figure 1) mark the top and base of the lower Carboniferous seal for the CO2 injection interval. The nature of fracturing within the seal is important to understanding storage security at any injection site. For example, how far above the base of the a fracture penetrate is very critical for evaluation of the possibility of reservoir leakage.|","fractures, 3D,  attributes"
"10","2015-5840458","Goaf Water Quantity Estimation by Mine Transient Electromagnetic Method","Wang, Bo, China University of Mining and Technology| Liu, Shengdong, China University of Mining and Technology| Zhang, Xiayang, China University of Mining and Technology| Huang, Lanying, China University of Mining and Technology","|Summary
In China, goaf water is major source of coal mine water disaster. At present, goaf water quantity is detected by drilling in the coal mine roadway, and the disadvantage is high workload and low efficiency. Therefore, mine transient electromagnetic method was proposed in this expanded abstract. After the calculation of late-period resistivity and time-depth conversion, the spatial distribution range of goaf aquifer was detected. Combined with water-filling coefficient of the aquifer, goaf water quantity can be estimated. The field test in the No.4 coal seam goaf of 80101 workface in Jude mine of Shanxi, western China, shows that the error percentage of the predicted water quantity is below 1.5%. 
Introduction
The mine transient electromagnetic method, MTEM for short, is a geophysical method used in underground roadways of coal mines for observing the secondary eddy current field to detect the time-space distribution. By measuring the change rule of the secondary magnetic field over time during the power-off period, the geoelectricity features at different depths can be obtained. Based on transient electromagnetic principle, ungrounded loop-line can transmit down pulse-type primary field, which may induce an eddy current, then the spatial and temporal distribution of secondary field caused by the eddy current can be observed by coil (Li 2014;Yu 2007; Liu 2009; Jiang 2010; Wang 2012). From Figure 1 it can be seen that, MTEM receives induced signals during the time-off period, which will be attenuated over time. 
Featuring light equipment, little lateral influence, MTEM was applied in water disaster prevention and control. However, in the case of processing method restraints, the analyses are usually qualitative, which cannot meet the standard of quantification, to a certain extent, hold up its wider application (Qin 2014; Tao 2009; Huang 2010; Xu2012). Thus, this expanded abstract will create new method to calculate MTEM response by means of equivalent substitution, interpret the diffusion law of MTEM field by theoretical formula, calculate physical parameters, and conduct 3D apparent resistivity imaging and quantitative analyses of detection results.|","magnetotelluric,  aquifer,  mining, estimation,  apparent resistivity"
