,source,target,total,count,source_num,target_num
4483,jin yan,chen mian,jin yan chen mian,7,3344,1881
4478,chen mian,jin yan,chen mian jin yan,7,1881,3344
209,safari reza,mutlu uno,safari reza mutlu uno,6,1920,1678
216,mutlu uno,safari reza,mutlu uno safari reza,6,1678,1920
3676,gu ming,quirein john,gu ming quirein john,5,1042,3256
3043,aki ahmet,samie mohamed,aki ahmet samie mohamed,5,2503,2033
3041,aki ahmet,abdulkarim anar,aki ahmet abdulkarim anar,5,2503,579
3037,aki ahmet,azim shaikh abdul,aki ahmet azim shaikh abdul,5,2503,2717
3036,samie mohamed,aki ahmet,samie mohamed aki ahmet,5,2033,2503
3030,samie mohamed,azim shaikh abdul,samie mohamed azim shaikh abdul,5,2033,2717
3022,abdulkarim anar,aki ahmet,abdulkarim anar aki ahmet,5,579,2503
3021,abdulkarim anar,samie mohamed,abdulkarim anar samie mohamed,5,579,2033
3681,quirein john,gu ming,quirein john gu ming,5,3256,1042
3034,samie mohamed,abdulkarim anar,samie mohamed abdulkarim anar,5,2033,579
3016,abdulkarim anar,azim shaikh abdul,abdulkarim anar azim shaikh abdul,5,579,2717
2993,azim shaikh abdul,samie mohamed,azim shaikh abdul samie mohamed,5,2717,2033
2994,azim shaikh abdul,aki ahmet,azim shaikh abdul aki ahmet,5,2717,2503
2991,azim shaikh abdul,abdulkarim anar,azim shaikh abdul abdulkarim anar,5,2717,579
355,shinde a. l.,perumalla s. v.,shinde a. l. perumalla s. v.,4,1408,1116
368,perumalla s. v.,shinde a. l.,perumalla s. v. shinde a. l.,4,1116,1408
13000,jin yan,jiang hailong,jin yan jiang hailong,4,3344,131
6962,quirein john,gokaraju deepak,quirein john gokaraju deepak,4,3256,3248
5353,dubinya n.,chebyshev i.,dubinya n. chebyshev i.,4,2105,1618
5357,chebyshev i.,dubinya n.,chebyshev i. dubinya n.,4,1618,2105
5354,chebyshev i.,lukin s.,chebyshev i. lukin s.,4,1618,2363
6970,gu ming,gokaraju deepak,gu ming gokaraju deepak,4,1042,3248
3493,el sherbeny wael,nuic ivo,el sherbeny wael nuic ivo,4,2200,658
1335,al-jalal ziad,al-anazi hamoud,al-jalal ziad al-anazi hamoud,4,691,1795
12993,chen mian,jiang hailong,chen mian jiang hailong,4,1881,131
6974,gokaraju deepak,gu ming,gokaraju deepak gu ming,4,3248,1042
3498,nuic ivo,el sherbeny wael,nuic ivo el sherbeny wael,4,658,2200
5350,dubinya n.,lukin s.,dubinya n. lukin s.,4,2105,2363
2329,lee w. j.,khanal a.,lee w. j. khanal a.,4,854,2028
2328,lee w. j.,khoshghadam m.,lee w. j. khoshghadam m.,4,854,1445
2327,khanal a.,lee w. j.,khanal a. lee w. j.,4,2028,854
2326,khanal a.,khoshghadam m.,khanal a. khoshghadam m.,4,2028,1445
2325,khoshghadam m.,lee w. j.,khoshghadam m. lee w. j.,4,1445,854
2324,khoshghadam m.,khanal a.,khoshghadam m. khanal a.,4,1445,2028
17439,russell s. duffy,vassilellis george,russell s. duffy vassilellis george,4,2302,2145
1322,al-anazi hamoud,rahim zillur,al-anazi hamoud rahim zillur,4,1795,2300
1321,rahim zillur,al-jalal ziad,rahim zillur al-jalal ziad,4,2300,691
1318,rahim zillur,al-anazi hamoud,rahim zillur al-anazi hamoud,4,2300,1795
5340,lukin s.,dubinya n.,lukin s. dubinya n.,4,2363,2105
5341,lukin s.,chebyshev i.,lukin s. chebyshev i.,4,2363,1618
1325,al-anazi hamoud,al-jalal ziad,al-anazi hamoud al-jalal ziad,4,1795,691
1334,al-jalal ziad,rahim zillur,al-jalal ziad rahim zillur,4,691,2300
6972,gokaraju deepak,quirein john,gokaraju deepak quirein john,4,3248,3256
17434,vassilellis george,russell s. duffy,vassilellis george russell s. duffy,4,2145,2302
6591,chen m.,jin y.,chen m. jin y.,4,1446,220
