,source,target,total,count,source_num,target_num
3208,petroamazonas ep,schlumberger,petroamazonas ep schlumberger,115,211,287
3171,schlumberger,petroamazonas ep,schlumberger petroamazonas ep,115,287,211
1360,halliburton,kuwait oil company,halliburton kuwait oil company,58,588,41
1344,kuwait oil company,halliburton,kuwait oil company halliburton,58,41,588
366,schlumberger,petrochina,schlumberger petrochina,51,287,836
349,petrochina,schlumberger,petrochina schlumberger,51,836,287
3868,adco,schlumberger,adco schlumberger,49,553,287
3883,schlumberger,adco,schlumberger adco,49,287,553
2124,lukoil-nizhnevolzhskneft,schlumberger,lukoil-nizhnevolzhskneft schlumberger,48,548,287
2172,schlumberger,lukoil-nizhnevolzhskneft,schlumberger lukoil-nizhnevolzhskneft,48,287,548
1716,sanjel,sm energy,sanjel sm energy,45,800,450
1721,sm energy,sanjel,sm energy sanjel,45,450,800
2792,petrochina zhejiang oilfield company,schlumberger,petrochina zhejiang oilfield company schlumberger,42,801,287
2822,schlumberger,petrochina zhejiang oilfield company,schlumberger petrochina zhejiang oilfield company,42,287,801
3736,lukoil,schlumberger,lukoil schlumberger,40,137,287
3756,schlumberger,lukoil,schlumberger lukoil,40,287,137
1872,kuwait oil company,baker hughes inc.,kuwait oil company baker hughes inc.,38,41,613
1852,baker hughes inc.,kuwait oil company,baker hughes inc. kuwait oil company,38,613,41
7654,bp america,lewis energy group,bp america lewis energy group,36,785,681
7690,lewis energy group,bp america,lewis energy group bp america,36,681,785
1426,schlumberger,pdo,schlumberger pdo,32,287,547
1414,pdo,schlumberger,pdo schlumberger,32,547,287
616,schlumberger,saudi aramco,schlumberger saudi aramco,30,287,595
610,saudi aramco,schlumberger,saudi aramco schlumberger,30,595,287
1067,shell international e&p,petroleum development oman,shell international e&p petroleum development oman,28,242,437
1112,petroleum development oman,shell international e&p,petroleum development oman shell international e&p,28,437,242
549,chevron houston,school of chemical engineering oklahoma state university,chevron houston school of chemical engineering oklahoma state university,24,5,497
