id	link	date	title	authors	summary
9610011v1	http://arxiv.org/pdf/physics/9610011v1	1996	The Non-Organic Theory of the Genesis of Petroleum	Samar Abbas	  Recent advances in interdisciplinary fields as diverse as astrophysics, cosmogeophysics, nuclear geology, etc. have led to interesting developments in the non-organic theory of the genesis of petroleum. This theory, which holds that petroleum is of an abiogenic primordial origin, provides an explanation for certain features of petroleum geology that are hard to explain within the standard organic framework. If the non-organic theory is correct, then hydrocarbon reserves would be enormous and almost inexhaustable. 	
0512154v1	http://arxiv.org/pdf/physics/0512154v1	2005	Geophysical tomography in engineering geology: an overview	Domenico Patella	  An overview of the tomographic interpretation method in engineering geophysics is presented, considering the two approaches of the deterministic tomography inversion, developed for rock elasticity analysis, and the probability tomography imaging developed in the domain of potential fields methods. The theoretical basis of both approaches is shortly outlined before showing a laboratory and a field application. 	
1802.03065v1	http://arxiv.org/pdf/1802.03065v1	2018	Generating Realistic Geology Conditioned on Physical Measurements with   Generative Adversarial Networks	Emilien Dupont|Tuanfeng Zhang|Peter Tilke|Lin Liang|William Bailey	  An important problem in geostatistics is to build models of the subsurface of the Earth given physical measurements at sparse spatial locations. Typically, this is done using spatial interpolation methods or by reproducing patterns from a reference image. However, these algorithms fail to produce realistic patterns and do not exhibit the wide range of uncertainty inherent in the prediction of geology. In this paper, we show how semantic inpainting with Generative Adversarial Networks can be used to generate varied realizations of geology which honor physical measurements while matching the expected geological patterns. In contrast to other algorithms, our method scales well with the number of data points and mimics a distribution of patterns as opposed to a single pattern or image. The generated conditional samples are state of the art. 	
1605.08811v1	http://arxiv.org/pdf/1605.08811v1	2016	Universal Graphs at $\aleph_{ω_1+1}$ and Set-theoretic Geology	Jacob Davis	  This thesis consists of two parts: the construction of a jointly universal family of graphs, and then an exploration of set-theoretic geology.   Firstly we shall construct a model in which $2^{\aleph_{\omega_1}}=2^{\aleph_{\omega_1+1}}=\aleph_{\omega_1+3}$ but there is a jointly universal family of size $\aleph_{\omega_1+2}$ of graphs on $\aleph_{\omega_1+1}$. We take a supercompact cardinal $\kappa$ and will use Radin forcing with interleaved collapses to change $\kappa$ into $\aleph_{\omega_1}$. Prior to the Radin forcing we perform a preparatory iteration to add functions from $\kappa^+$ into Radin names for what will become members of the jointly universal family on $\kappa^+$. The same technique can be used with any uncountable cardinal in place of $\omega_1$.   Secondly we explore various topics in set-theoretic geology. We begin by showing that a class Easton support iteration of $\mathrm{Add}(\kappa,1)$ at $\kappa$ regular results in a universe that is its own generic mantle. We then consider set forcings $\mathbb{P}$, $\mathbb{Q}$, $\mathbb{R}$ and $\mathbb{S}$ with respective generics $G$, $H$, $I$ and $J$ such that $V[G][I]=V[H][J]$ and show that $V[G]$ and $V[H]$ must have a shared ground via $(|\mathbb{R}|+|\mathbb{S}|)^+$-cc forcing. This allows a similar analysis of the related situation when $\mathbb{P}$ is replaced by a class iteration and $V[H]$ by a generic ground of $V[G]$. We conclude with a simple characterisation of the mantle of a class forcing extension, and an investigation of the possibilities for a version of the intermediate model theorem that applies to class forcing. 	
1201.0001v1	http://arxiv.org/pdf/1201.0001v1	2011	Teaching Waves with Google Earth	Fabrizio Logiurato	  Google Earth is a huge source of interesting illustrations of various natural phenomena. It can represent a valuable tool for science education, not only for teaching geography and geology, but also physics. Here we suggest that Google Earth can be used for introducing in an attractive way the physics of waves. 	
1608.03802v1	http://arxiv.org/pdf/1608.03802v1	2016	Density vs distance for the DUNE beam from two recent geology density   maps	Byron P. Roe	  The densities passed through for neutrinos going from Fermilab to Sanford lab are obtained using two recent density tables, crustal [1] and Shen-Ritzwoller[2], as well as the values from an older table PEMC[3]. 	
0507003v1	http://arxiv.org/pdf/q-bio/0507003v1	2005	The Mediterranean deep-sea fauna: historical evolution, bathymetric   variations and geographical changes	Christian Emig|Patrick Geistdoerfer	  The deep-water fauna of the Mediterranean is characterized by an absence of distinctive characteristics and by a relative impoverishment. Both are a result of events after the Messinian salinity crisis (Late Miocene). The three main classes of phenomena involved in producing or recording these effects are analysed and discussed: - Historical: Sequential faunal changes during the Pliocene and thereafter in particular those during the Quaternary glaciations and still in progress. - Bathymetric: Changes in the vertical aspects of the Bathyal and Abyssal zones that took place under peculiar conditions, i.e. homothermy, a relative oligotrophy, the barrier of the Gibraltar sill, and water mass movement. The deeper the habitat of a species in the Mediterranean, the more extensive is its distribution elsewhere. - Geographical: There are strong affinities and relationships between Mediterranean and Atlantic faunas. Endemic species remain a biogeographical problem. Species always become smaller in size eastward where they occupy a progressively deeper habitat. Thus, the existing deep Mediterranean Sea appears to be younger than any other deep-sea constituent of the World Ocean. 	
1001.4158v4	http://arxiv.org/pdf/1001.4158v4	2011	On the Correct Use of Statistical Tests: Reply to "Lies, damned lies and   statistics (in Geology)"	D. Sornette|V. Pisarenko	  In a Forum published in EOS Transactions AGU (2009) entitled "Lies, damned lies and statistics (in Geology)", Vermeesch (2009) claims that "statistical significant is not the same as geological significant", in other words, statistical tests may be misleading. In complete contradiction, we affirm that statistical tests are always informative. We detail the several mistakes of Vermeesch in his initial paper and in his comments to our reply. The present text is developed in the hope that it can serve as an illuminating pedagogical exercise for students and lecturers to learn more about the subtleties, richness and power of the science of statistics. 	
1603.03625v1	http://arxiv.org/pdf/1603.03625v1	2016	Mineralogy and Geology of asteroid (4) Vesta from Dawn Framing Camera	Guneshwar Thangjam	  This thesis presents insights into the surface compositional heterogeneity and geology of asteroid Vesta. Lithologic mapping using Framing Camera onboard the NASA Dawn spacecraft revealed that the majority of the surface is howarditic in composition (Thangjam et al. 2013). An important outcome of this thesis is identification of olivine-rich exposures for the first time using FC color data (Thangjam et al., 2014). Another significant contribution from this thesis is an innovative three-dimensional approach of spectral analysis that could be used to study surface compositional heterogeneity of Vesta (Thangjam et al., 2016). The three band parameter space with defined polyhedrons is more advanced and robust compared to the generally used two-dimensional spectral analysis i.e., two band parameter space. A revised petrologic evolution model is presented to explain the ongoing problem of missing olivine-rich mantle of Vesta and also the petrogenesis of HED meteorites (howardite, eucrite, diogenite clan of stony achondrites). 	
1607.05068v1	http://arxiv.org/pdf/1607.05068v1	2016	Numerical modelling of shaking effects due to strong motions on the   tiber alluvial deposits in Rome (Italy)	Fabian Bonilla|Francesca Bozzano|Céline Gelis|Anna Chiara Giacomi|Luca Lenti|Salvatore Martino|Maria Paola Santisi d'Avila|Jean-François Semblat	  A multidisciplinary approach is proposed for evaluating the effects of shaking due to strong motions on the Tiber river alluvial deposits in Rome's historical centre. At this aim, a detailed 3D geological model of the Tiber river alluvial deposit has been constructed and a numerical analysis of site response was performed along two geological sections across the historical centre of Rome. The numerical models were performed in both 1D and 2D configurations assuming linear and nonlinear conditions, by applying a three component seismic input. The results show that the maximum shear strains are strongly conditioned by the layer geometries (i.e. 2D or 1D conditions) and by the soil heterogeneity. Moreover, the reliability of the maximum strains obtained by numerical modeling is discussed comparing these values respect to both the volumetric and the degradation dynamic thresholds of the considered soils. 	
