id	link	date	title	authors	summary
1509.06333v1	http://arxiv.org/pdf/1509.06333v1	2015	Network Capability in Localizing Node Failures via End-to-end Path   Measurements	Liang Ma|Ting He|Ananthram Swami|Don Towsley|Kin K. Leung	  We investigate the capability of localizing node failures in communication networks from binary states (normal/failed) of end-to-end paths. Given a set of nodes of interest, uniquely localizing failures within this set requires that different observable path states associate with different node failure events. However, this condition is difficult to test on large networks due to the need to enumerate all possible node failures. Our first contribution is a set of sufficient/necessary conditions for identifying a bounded number of failures within an arbitrary node set that can be tested in polynomial time. In addition to network topology and locations of monitors, our conditions also incorporate constraints imposed by the probing mechanism used. We consider three probing mechanisms that differ according to whether measurement paths are (i) arbitrarily controllable, (ii) controllable but cycle-free, or (iii) uncontrollable (determined by the default routing protocol). Our second contribution is to quantify the capability of failure localization through (1) the maximum number of failures (anywhere in the network) such that failures within a given node set can be uniquely localized, and (2) the largest node set within which failures can be uniquely localized under a given bound on the total number of failures. Both measures in (1-2) can be converted into functions of a per-node property, which can be computed efficiently based on the above sufficient/necessary conditions. We demonstrate how measures (1-2) proposed for quantifying failure localization capability can be used to evaluate the impact of various parameters, including topology, number of monitors, and probing mechanisms. 	
1311.6700v2	http://arxiv.org/pdf/1311.6700v2	2014	Failure mechanisms of load sharing complex systems	Shahnewaz Siddique|Vitali Volovoi	  We investigate the failure mechanisms of load sharing complex systems. The system is composed of multiple nodes or components whose failures are determined based on the interaction of their respective strengths and loads (or capacity and demand respectively) as well as the ability of a component to share its load with its neighbors when needed. We focus on two distinct mechanisms to model the interaction between components' strengths and loads. The failure mechanisms of these two models demonstrate temporal scaling phenomena, phase transitions and multiple distinct failure modes excited by extremal dynamics. For critical ranges of parameters the models demonstrate power law and exponential failure patterns. We identify the similarities and differences between the two mechanisms and the implications of our results to the failure mechanisms of complex systems in the real world. 	
1310.5948v1	http://arxiv.org/pdf/1310.5948v1	2013	Failure modes of complex materials with spatially-correlated mechanical   properties -- the critical role of internal damage	Jerome Faillettaz|Dani Or	  The study reports a systematic evaluation of the role of spatially correlated mechanical elements on failure behavior of heterogeneous materials represented by fiber bundle models (FBM) with different load redistribution rules. The increase of spatial correlation FBM for a local load sharing, results in a transition from ductile-like failure characteristics into brittle-like failure. The study identified a global failure criterion based on macroscopic properties (external load and cumulative damage) which is independent of spatial correlation or load redistribution rules. This invariant metric could be applied for early warning of a class of geophysical ruptures. 	
1607.07502v1	http://arxiv.org/pdf/1607.07502v1	2016	Cascading Node Failure with Continuous States in Random Geometric   Networks	Khashayar Kamran|Edmund Yeh	  The increasing complexity and interdependency of today's networks highlight the importance of studying network robustness to failure and attacks. Many large-scale networks are prone to cascading effects where a limited number of initial failures (due to attacks, natural hazards or resource depletion) propagate through a dependent mechanism, ultimately leading to a global failure scenario where a substantial fraction of the network loses its functionality. These cascading failure scenarios often take place in networks which are embedded in space and constrained by geometry. Building on previous results on cascading failure in random geometric networks, we introduce and analyze a continuous cascading failure model where a node has an initial continuously-valued state, and fails if the aggregate state of its neighbors fall below a threshold. Within this model, we derive analytical conditions for the occurrence and non-occurrence of cascading node failure, respectively. 	
1110.2270v1	http://arxiv.org/pdf/1110.2270v1	2011	Noise Analysis and Detection Based on RF Energy Duration in wireless LAN	R. Seshadri|N. Penchalaiah	  Noise is the major problem while working with wireless LAN. In this paper we analyze the noise by using active receiving antenna and also propose the detection mechanism based on RF energy duration. The standard back off mechanism of 802.11 wireless LAN (WLAN) increases the contention window when a transmission failure occurs in order to alleviate contentions in a WLAN. In addition, many proposed schemes for 802.11 WLAN behave adaptively to transmission failures. Transmission failures in WLANs occur mostly by two causes: collision and channel noise. However, in 802.11 WLAN, a station cannot know the cause of a transmission failure, thus the adaptive schemes assume the ideal situation in which all transmission failures occur by only one of two causes. For this reason, they may behave erroneously in a real world where transmission failures occur by both causes. In this paper, we propose a novel scheme to detect collision, which utilizes transmission time information and RF energy duration on the channel. By detecting collisions, a station can differentiate the causes of transmission failures and the adaptive schemes can operate correctly by using the detection information. 	
1706.04579v1	http://arxiv.org/pdf/1706.04579v1	2017	Limits of Predictability of Cascading Overload Failures in   Spatially-Embedded Networks with Distributed Flows	Alaa Moussawi|Noemi Derzsy|Xin Lin|Boleslaw K. Szymanski|Gyorgy Korniss	  Cascading failures are a critical vulnerability of complex information or infrastructure networks. Here we investigate the properties of load-based cascading failures in real and synthetic spatially-embedded network structures, and propose mitigation strategies to reduce the severity of damages caused by such failures. We introduce a stochastic method for optimal heterogeneous distribution of resources (node capacities) subject to a fixed total cost. Additionally, we design and compare the performance of networks with N-stable and (N-1)-stable network-capacity allocations by triggering cascades using various real-world node-attack and node-failure scenarios. We show that failure mitigation through increased node protection can be effectively achieved against single node failures. However, mitigating against multiple node failures is much more difficult due to the combinatorial increase in possible failures. We analyze the robustness of the system with increasing protection, and find that a critical tolerance exists at which the system undergoes a phase transition, and above which the network almost completely survives an attack. Moreover, we show that cascade-size distributions measured in this region exhibit a power-law decay. Finally, we find a strong correlation between cascade sizes induced by individual nodes and sets of nodes. We also show that network topology alone is a weak factor in determining the progression of cascading failures. 	
1101.5330v1	http://arxiv.org/pdf/1101.5330v1	2011	A contact model for the yielding of caked granular materials	L. Brendel|J. Török|R. Kirsch|U. Bröckel	  We present a visco-elastic coupling model between caked spheres, suitable for DEM simulations, which incorporates the different loading mechanisms (tension, shear, bending, torsion) in a combined manner and allows for a derivation of elastic and failure properties on a common basis. In pull, shear, and torsion failure tests with agglomerates of up to 10000 particles, we compare the failure criterion to different approximative variants of it, with respect to accuracy and computational cost. The failure of the agglomerates, which behave according to elastic parameters derived from the contact elasticity, gives also insight into the relative relevance of the different load modes. 	
0706.1134v1	http://arxiv.org/pdf/0706.1134v1	2007	Comment on: Failure of the work-Hamiltonian connection for free energy   calculations	A. Imparato|L. Peliti	  We argue that the apparent failure of the work-Hamiltonian connection for free energy calculations reported by Vilar and Rubi' (cond-mat arXiv:0704.0761v2) stems from their incorrect expression for the work. 	
0208359v2	http://arxiv.org/pdf/cond-mat/0208359v2	2003	Failure due to fatigue in fiber bundles and solids	Srutarshi Pradhan|Bikas K. Chakrabarti	  We consider first a homogeneous fiber bundle model where all the fibers have got the same stress threshold beyond which all fail simultaneously in absence of noise. At finite noise, the bundle acquires a fatigue behavior due to the noise-induced failure probability at any stress. We solve this dynamics of failure analytically and show that the average failure time of the bundle decreases exponentially as the stress increases. We also determine the avalanche size distribution during such failure and find a power law decay. We compare this fatigue behavior with that obtained phenomenologically for the nucleation of Griffith cracks. Next we study numerically the fatigue behavior of random fiber bundles having simple distributions of individual fiber strengths, at stress less than the bundle's strength (beyond which it fails instantly). The average failure time is again seen to decrease exponentially as the stress increases and the avalanche size distribution shows similar power law decay. These results are also in broad agreement with experimental observations on fatigue in solids. We believe, these observations regarding the failure time are useful for quantum breakdown phenomena in disordered systems. 	
1505.04628v1	http://arxiv.org/pdf/1505.04628v1	2015	Building a fault tolerant application using the GASPI communication   layer	Faisal Shahzad|Moritz Kreutzer|Thomas Zeiser|Rui Machado|Andreas Pieper|Georg Hager|Gerhard Wellein	  It is commonly agreed that highly parallel software on Exascale computers will suffer from many more runtime failures due to the decreasing trend in the mean time to failures (MTTF). Therefore, it is not surprising that a lot of research is going on in the area of fault tolerance and fault mitigation. Applications should survive a failure and/or be able to recover with minimal cost. MPI is not yet very mature in handling failures, the User-Level Failure Mitigation (ULFM) proposal being currently the most promising approach is still in its prototype phase. In our work we use GASPI, which is a relatively new communication library based on the PGAS model. It provides the missing features to allow the design of fault-tolerant applications. Instead of introducing algorithm-based fault tolerance in its true sense, we demonstrate how we can build on (existing) clever checkpointing and extend applications to allow integrate a low cost fault detection mechanism and, if necessary, recover the application on the fly. The aspects of process management, the restoration of groups and the recovery mechanism is presented in detail. We use a sparse matrix vector multiplication based application to perform the analysis of the overhead introduced by such modifications. Our fault detection mechanism causes no overhead in failure-free cases, whereas in case of failure(s), the failure detection and recovery cost is of reasonably acceptable order and shows good scalability. 	
