id	link	date	title	authors	summary
1210.3024v1	http://arxiv.org/pdf/1210.3024v1	2012	Sensitivity analysis of GSI based mechanical characterization of rock   mass	P. Ván|B. Vásárhelyi	  Recently, the rock mechanical and rock engineering designs and calculations are frequently based on Geological Strength Index (GSI) method, because it is the only system that provides a complete set of mechanical properties for design purpose. Both the failure criteria and the deformation moduli of the rock mass can be calculated with GSI based equations, which consists of the disturbance factor, as well. The aim of this paper is the sensitivity analysis of GSI and disturbance factor dependent equations that characterize the mechanical properties of rock masses. The survey of the GSI system is not our purpose. The results show that the rock mass strength calculated by the Hoek-Brown failure criteria and both the Hoek-Diederichs and modified Hoek-Diederichs deformation moduli are highly sensitive to changes of both the GSI and the D factor, hence their exact determination is important for the rock engineering design. 	
0808.3886v2	http://arxiv.org/pdf/0808.3886v2	2009	Stress dependent thermal pressurization of a fluid-saturated rock	Siavash Ghabezloo|Jean Sulem	  Temperature increase in saturated porous materials under undrained conditions leads to thermal pressurization of the pore fluid due to the discrepancy between the thermal expansion coefficients of the pore fluid and of the solid matrix. This increase in the pore fluid pressure induces a reduction of the effective mean stress and can lead to shear failure or hydraulic fracturing. The equations governing the phenomenon of thermal pressurization are presented and this phenomenon is studied experimentally for a saturated granular rock in an undrained heating test under constant isotropic stress. Careful analysis of the effect of mechanical and thermal deformation of the drainage and pressure measurement system is performed and a correction of the measured pore pressure is introduced. The test results are modelled using a non-linear thermo-poro-elastic constitutive model of the granular rock with emphasis on the stress-dependent character of the rock compressibility. The effects of stress and temperature on thermal pressurization observed in the tests are correctly reproduced by the model. 	
0709.2647v2	http://arxiv.org/pdf/0709.2647v2	2007	Rupture by damage accumulation in rocks	David Amitrano	  The deformation of rocks is associated with microcracks nucleation and propagation, i.e. damage. The accumulation of damage and its spatial localization lead to the creation of a macroscale discontinuity, so-called "fault" in geological terms, and to the failure of the material, i.e. a dramatic decrease of the mechanical properties as strength and modulus. The damage process can be studied both statically by direct observation of thin sections and dynamically by recording acoustic waves emitted by crack propagation (acoustic emission). Here we first review such observations concerning geological objects over scales ranging from the laboratory sample scale (dm) to seismically active faults (km), including cliffs and rock masses (Dm, hm). These observations reveal complex patterns in both space (fractal properties of damage structures as roughness and gouge), time (clustering, particular trends when the failure approaches) and energy domains (power-law distributions of energy release bursts). We use a numerical model based on progressive damage within an elastic interaction framework which allows us to simulate these observations. This study shows that the failure in rocks can be the result of damage accumulation. 	
1203.0850v2	http://arxiv.org/pdf/1203.0850v2	2012	Damage-cluster distributions and size effect on strength in compressive   failure	Lucas Girard|Jerome Weiss|David Amitrano	  We investigate compressive failure of heterogeneous materials on the basis of a continuous progressive damage model. The model explicitely accounts for tensile and shear local damage and reproduces the main features of compressive failure of brittle materials like rocks or ice. We show that the size distribution of damage-clusters, as well as the evolution of an order parameter, the size of the largest damage-cluster, argue for a critical interpretation of fracture. The compressive failure strength follows a normal distribution with a very small size effect on the mean strength, in good agreement with experiments. 	
0808.4081v1	http://arxiv.org/pdf/0808.4081v1	2008	Numerical modelling of the effect of weathering on the progressive   failure of underground limestone mines	Siavash Ghabezloo|Ahmad Pouya	  The observations show that the collapse of underground limestone mines results from a progressive failure due to gradual weathering of the rockmass. The following stages can be considered for the limestone weathering and degradation process in underground mines: condensation of the water on the roof of the gallery, infiltration of water in the porous rock, migration of the air CO2 molecules in the rock pore water by convection and molecular diffusion, dissolution of limestone by CO2 rich water and consequently, reduction of the strength properties of rock. Considering this process, a set of equations governing different hydrochemo-mechanical aspects of the weathering phenomenon and progressive failure occurring in these mines is presented. Then the feasibility of numerical modelling of this process is studied and a simple example of application is presented. 	
1605.06178v1	http://arxiv.org/pdf/1605.06178v1	2016	Lattice Discrete Particle Model (LDPM) for pressure-dependent   inelasticity in granular rocks	Shiva Esna Ashari|Giuseppe Buscarnera|Gianluca Cusatis	  This paper deals with the formulation, calibration, and validation of a Lattice Discrete Particle Model (LDPM) for the simulation of the pressure-dependent inelastic response of granular rocks. LDPM is formulated in the framework of discrete mechanics and it simulates the heterogeneous deformation of cemented granular systems by means of discrete compatibility/equilibrium equations defined at the grain scale. A numerical strategy is proposed to generate a realistic microstructure based on the actual grain size distribution of a sandstone and the capabilities of the method are illustrated with reference to the particular case of Bleurswiller sandstone, i.e. a granular rock that has been extensively studied at the laboratory scale. LDPM micromechanical parameters are calibrated based on evidences from triaxial experiments, such as hydrostatic compression, brittle failure at low confinement and plastic behavior at high confinement. Results show that LDPM allows exploring the effect of fine-scale heterogeneity on the inelastic response of rock cores, achieving excellent quantitative performance across a wide range of stress conditions. In addition, LDPM simulations demonstrate its capability of capturing different modes of strain localization within a unified mechanical framework, which makes this approach applicable for a wide variety of geomechanical settings. Such promising performance suggests that LDPM may constitute a viable alternative to existing discrete numerical methods for granular rocks, as well as a versatile tool for the interpretation of their complex deformation/failure patterns and for the development of continuum models capturing the effect of micro-scale heterogeneity. 	
1705.03377v1	http://arxiv.org/pdf/1705.03377v1	2017	Real time observation of granular rock analogue material deformation and   failure using nonlinear laser interferometry	Pierre Walczak|Francesco Mezzapesa|Abderrahmane Bouakline|Julien Ambre|Stéphane Bouissou|Stéphane Barland	  A better understanding and anticipation of natural processes such as landsliding or seismic fault activity requires detailed theoretical and experimental analysis of rock mechanics and geomaterial dynamics. These last decades, considerable progress has been made towards understanding deformation and fracture process in laboratory experiment on granular rock materials, as the well-known shear banding experiment. One of the reasons for this progress is the continuous improvement in the instrumental techniques of observation. But the lack of real time methods does not allow the detection of indicators of the upcoming fracture process and thus to anticipate the phenomenon. Here, we have performed uniaxial compression experiments to analyse the response of a granular rock material sample to different shocks. We use a novel interferometric laser sensor based on the nonlinear self-mixing interferometry technique to observe in real time the deformations of the sample and assess its usefulness as a diagnostic tool for the analysis of geomaterial dynamics. Due to the high spatial and temporal resolution of this approach, we observe both vibrations processes in response to a dynamic loading and the onset of failure. The latter is preceded by a continuous variation of vibration period of the material. After several shocks, the material response is no longer reversible and we detect a progressive accumulation of irreversible deformation leading to the fracture process. We demonstrate that material failure is anticipated by the critical slowing down of the surface vibrational motion, which may therefore be envisioned as an early warning signal or predictor to the macroscopic failure of the sample. The nonlinear self-mixing interferometry technique is readily extensible to fault propagation measurements. As such, it opens a new window of observation for the study of geomaterial deformation and failure. 	
1406.1052v2	http://arxiv.org/pdf/1406.1052v2	2014	A Conceptual Approach to Two-Scale Constitutive Modelling For   Hydro-Mechanical Coupling	Giang D. Nguyen|Abbas El-Zein|Terry Bennett	  Large scale modelling of fluid flow coupled with solid failure in geothermal reservoirs or hydrocarbon extraction from reservoir rocks usually involves behaviours at two scales: lower scale of the inelastic localization zone, and larger scale of the bulk continuum where elastic behaviour can be reasonably assumed. The hydraulic conductivities corresponding to the mechanical properties at these two scales are different. In the bulk elastic host rock, the hydraulic conductivity does not vary much with the deformation, while it significantly changes in the lower scale of the localization zone due to inelastic deformation. Increase of permeability due to fracture and/or dilation, or reduction of permeability due to material compaction can take place inside this zone. The challenge is to predict the evolution of hydraulic conductivities coupled with the mechanical behaviour of the material in all stages of the deformation process. In the early stage of diffuse deformation, the permeability of the material can be reasonably assumed to be homogenous over the whole Representative Volume Element (RVE) However, localized failure results in distinctly different conductivities in different parts of the RVE. This paper establishes a general framework and corresponding field equations to describe the hydro-mechanical coupling in both diffuse and localized stages of deformation in rocks. In particular, embedding the lower scale hydro-mechanical behaviour of the localization zone inside an elastic bulk, together with their corresponding effective sizes, helps effectively deal with scaling issues in large-scale modelling. Preliminary results are presented which demonstrate the promising features of this new approach. 	
1710.04182v1	http://arxiv.org/pdf/1710.04182v1	2017	Modeling Dynamic Helium Release as a Tracer of Rock Deformation	W. Payton Gardner|Stephen J. Bauer|Kristopher L. Kuhlman|Jason E. Heath	  We use helium released during mechanical deformation of shales as a signal to explore the effects of deformation and failure on material transport properties. A dynamic dual-permeability model with evolving pore and fracture networks is used to simulate gases released from shale during deformation and failure. Changes in material properties required to reproduce experimentally observed gas signals are explored. We model two different experiments of $^4$He flow rate measured from shale undergoing mechanical deformation, a core parallel to bedding and a core perpendicular to bedding. We find that the helium signal is sensitive to fracture development and evolution as well as changes in the matrix transport properties. We constrain the timing and effective fracture aperture, as well as the increase in matrix porosity and permeability. Increases in matrix permeability are required to explain gas flow prior to macroscopic failure, and the short-term gas flow post failure. Increased matrix porosity, is required to match the long-term, post-failure gas flow. Our model provides the first quantitative interpretation of helium release as a result of mechanical deformation. The sensitivity of this model to changes in the fracture network, as well as to matrix properties during deformation, indicates that helium release can be used as a quantitative tool to evaluate the state of stress and strain in earth materials. 	
1111.4924v1	http://arxiv.org/pdf/1111.4924v1	2011	The precursory electric signals, observed before the Izmit Turkey EQ (Mw   = 7.6, August 17th, 1999), analyzed in terms of a hypothetically   pre-activated, in the focal area, large scale piezoelectric mechanism	C. Thanassoulas|V. Klentos	  The generated, prior to the Izmit Turkey large EQ, preseismic electric signals were recorded in Greece by the VOL Earth's electric field monitoring site. In order to explain their peculiar character and their generating mechanism, a large scale piezoelectric mechanism was assumed that was initiated in the Izmit seismogenic region long before the EQ occurrence time. The theoretical analysis of the adopted physical model justifies the generation of a number of specific electric signals that can be emitted from the focal area before the rock formation failure. The processing of the registered by the VOL monitoring site raw data revealed the presence of similar signals as the expected theoretical ones. Therefore, it is concluded that long before the Izmit EQ occurrence a large scale piezoelectric mechanism was initiated that was modulated too by the tidally triggered lithospheric oscillation and therefore generated the observed preseismic electric signals. The adopted piezoelectric model provides critical information about the time of occurrence of the seismogenic area rock formation failure and therefore the possibility for a real short-term time prediction of a large EQ. The other two predictive EQ parameters, location and magnitude, are discussed in the frame of electric field triangulation and the Lithospheric Seismic Energy Flow Model (LSEFM). 	
