id	link	date	title	authors	summary
1005.3385v1	http://arxiv.org/pdf/1005.3385v1	2010	Current reversals in a rocking ratchet: dynamical vs symmetry-breaking   mechanisms	D. Cubero|V. Lebedev|F. Renzoni	  Directed transport in ratchets is determined by symmetry-breaking in a system out of equilibrium. A hallmark of rocking ratchets is current reversals: an increase in the rocking force changes the direction of the current. In this work for a bi-harmonically driven spatially symmetric rocking ratchet we show that a class of current reversal is precisely determined by symmetry-breaking, thus creating a link between dynamical and symmetry-breaking mechanisms. 	
1302.0483v1	http://arxiv.org/pdf/1302.0483v1	2013	Multifractal analysis of the pore space of real and simulated   sedimentary rocks	Abhra Giri|Sujata Tarafdar|Philippe Gouze|Tapati Dutta	  It is well known that sedimentary rocks having same porosity can have very different pore size distribution. The pore distribution determines many characteristics of the rock among which, its transport property is often the most useful. Multifractal analysis is a powerful tool that is increasingly used to characterize the pore space. In this study we have done multifractal analysis of pore distribution on sedimentary rocks simulated using the Relaxed Bidisperse Ballistic Model (RBBDM). The RBBDM can generate a $3-D$ structure of sedimentary rocks of variable porosity by tuning the fraction $p$ of particles of two different sizes. We have also done multifractal analysis on two samples of real sedimentary rock to compare with the simulation studies. One sample, an oolitic limestone is of high porosity (40%)while the other is a reefal carbonate of low porosity around 7%. $2-D$ sections of X-ray micro-tomographs of the real rocks were stacked sequentially to reconstruct the real rock specimens. Both samples show a multifractal character, but we show that RBBDM gives a very realistic representation of a typical high porosity sedimentary rock. 	
1103.3033v1	http://arxiv.org/pdf/1103.3033v1	2011	Ellipsoidal anisotropy in elasticity for rocks and rock masses	Ahmad Pouya|Michel Chalhoub	  One of the interesting features with the ellipsoidal models of anisotropy presented in this paper is their acceptance of analytical solutions for some of the basic elasticity problems. It was shown by Pouya (2000) and Pouya and Zaoui (2006) that many closed-form solutions for basic problems involving linear isotropic materials could be extended by linear transformation to cover a variety of "ellipsoidal" materials. This paper will describe two main varieties of ellipsoidal elastic models and show how well they fit the in situ data for sedimentary rocks; numerical homogenization results for several varieties of fractured rock masses will also be provided. 	
1111.6568v2	http://arxiv.org/pdf/1111.6568v2	2011	Polyhedral colloidal `rocks': low-dimensional networks	Rebecca Rice|Roland Roth|C. Patrick Royall	  We introduce a model system of anisotropic colloidal `rocks'. Due to their shape, the bonding introduced via non-absorbing polymers is profoundly different from spherical particles: bonds between rocks are rigid against rotation, leading to strong frustration. We develop a geometric model which captures the essence of the rocks. Experiments and simulations show that the colloid geometry leads to structures of low fractal dimension. This is in stark contrast to gels of spheres, whose rigidity results from locally dense regions. At high density the rocks form a quasi one-component glass. 	
1210.3024v1	http://arxiv.org/pdf/1210.3024v1	2012	Sensitivity analysis of GSI based mechanical characterization of rock   mass	P. Ván|B. Vásárhelyi	  Recently, the rock mechanical and rock engineering designs and calculations are frequently based on Geological Strength Index (GSI) method, because it is the only system that provides a complete set of mechanical properties for design purpose. Both the failure criteria and the deformation moduli of the rock mass can be calculated with GSI based equations, which consists of the disturbance factor, as well. The aim of this paper is the sensitivity analysis of GSI and disturbance factor dependent equations that characterize the mechanical properties of rock masses. The survey of the GSI system is not our purpose. The results show that the rock mass strength calculated by the Hoek-Brown failure criteria and both the Hoek-Diederichs and modified Hoek-Diederichs deformation moduli are highly sensitive to changes of both the GSI and the D factor, hence their exact determination is important for the rock engineering design. 	
0908.4140v1	http://arxiv.org/pdf/0908.4140v1	2009	Investigation of a hydraulic impact: a technology in rock breaking	Martin Genet|Wenyi Yan|Thanh Tran-Cong	  The finite element method and dimensional analysis have been applied in the present paper to study a hydraulic impact, which is utilized in a non-explosive rock breaking technology in mining industry. The impact process of a high speed piston on liquid water, previously introduced in a borehole drilled in rock, is numerically simulated. The research is focused on the influences of all the parameters involved in the technology on the largest principal stress in the rock, which is considered as one of the key factors to break the rock. Our detailed parametric investigation reveals that the variation of the isotropic rock material properties, especially its density, has no significant influence on the largest principal stress. The influences of the depth of the hole and the depth of the water column are also very small. On the other hand, increasing the initial kinetic energy of the piston can dramatically increase the largest principal stress and the best way to increase the initial kinetic energy of the piston is to increase its initial velocity. Results from the current dimensional analysis can be applied to optimize this non-explosive rock breaking technology. 	
1204.0917v1	http://arxiv.org/pdf/1204.0917v1	2012	Reactive-infiltration instabilities in rocks. Fracture dissolution	Piotr Szymczak|Anthony J. C. Ladd	  A reactive fluid dissolving the surface of a uniform fracture will trigger an instability in the dissolution front, leading to spontaneous formation of pronounced well-spaced channels in the surrounding rock matrix. Although the underlying mechanism is similar to the wormhole instability in porous rocks there are significant differences in the physics, due to the absence of a steadily propagating reaction front. In previous work we have described the geophysical implications of this instability in regard to the formation of long conduits in soluble rocks. Here we describe a more general linear stability analysis, including axial diffusion, transport limited dissolution, non-linear kinetics, and a finite length system. 	
0902.3941v2	http://arxiv.org/pdf/0902.3941v2	2009	Rocking feedback controlled ratchets	M. Feito|J. P. Baltanas|F. J. Cao	  We investigate the different regimes that emerge when a periodic driving force, the rocking force, acts on a collective feedback flashing ratchet. The interplay of the rocking and the feedback control gives a rich dynamics with different regimes presenting several unexpected novel features. In particular, we show that for both the one-particle ratchet and the collective version of the ratchet an appropriate rocking increases the flux. This mechanism gives the maximum flux that has been achieved in a ratchet device without an a priori bias. 	
0808.3886v2	http://arxiv.org/pdf/0808.3886v2	2009	Stress dependent thermal pressurization of a fluid-saturated rock	Siavash Ghabezloo|Jean Sulem	  Temperature increase in saturated porous materials under undrained conditions leads to thermal pressurization of the pore fluid due to the discrepancy between the thermal expansion coefficients of the pore fluid and of the solid matrix. This increase in the pore fluid pressure induces a reduction of the effective mean stress and can lead to shear failure or hydraulic fracturing. The equations governing the phenomenon of thermal pressurization are presented and this phenomenon is studied experimentally for a saturated granular rock in an undrained heating test under constant isotropic stress. Careful analysis of the effect of mechanical and thermal deformation of the drainage and pressure measurement system is performed and a correction of the measured pore pressure is introduced. The test results are modelled using a non-linear thermo-poro-elastic constitutive model of the granular rock with emphasis on the stress-dependent character of the rock compressibility. The effects of stress and temperature on thermal pressurization observed in the tests are correctly reproduced by the model. 	
0709.3028v1	http://arxiv.org/pdf/0709.3028v1	2007	Emerging complexity in a simple model of the mechanical behaviour of   rocks	David Amitrano	  We propose a mechanical model for the behaviour of rocks based on progressive damage at the elementary scale and elastic interaction. It allows us to simulate several experimental observations: mechanical behaviour ranging from brittle to ductile, fractal structure of the damage, powerlaw distribution of the damage avalanches. These macroscopic properties are not incorporated at the elementary scale, but are the results of the interaction between elements. This emerging complexity permits us to consider the strain rock process as a complex system characterized by non-linear dynamics. 	
