	name	degree
2234	morales o.	66
1446	chen m.	62
2433	gulov artur	62
935	shokarev ivan	62
2296	zhludov alexey	62
1881	chen mian	56
2327	chen y.	56
578	suter a.	56
1865	zhang x.	50
736	glebov evgeniy	50
1116	perumalla s. v.	46
1408	shinde a. l.	46
3344	jin yan	44
220	jin y.	42
1476	bolanos m. j.	40
1511	noufal abdelwahab	40
1920	safari reza	40
449	dymov sergey	40
844	golenkin m.	38
1932	shtun s.	38
460	khakov a.	38
2239	ocheretyanyy a.	38
2715	chen z.	38
1105	fluckiger samuel	38
2814	zhang rui	38
2340	sadykov l.	38
1717	sirat m.	36
814	zhang fuxiang	36
1412	zhang xing	34
1689	liu huiqing	34
757	sierra f.	34
3256	quirein john	32
2157	rougier e.	32
1349	pankaj piyush	32
1432	zhang lei	32
303	liang xing	32
3269	castillo f.	32
391	lu y. h.	32
1028	carey j. w.	32
73	badillo v.	32
2200	el sherbeny wael	32
1676	viswanathan h. s.	30
2698	viswanathan h.	30
1316	shabalinskaya d.	30
1669	pyankov k.	30
2680	shtun a.	30
1449	melendez l.	30
2069	zakharov i.	30
929	omar marwa	30
1678	mutlu uno	30
2045	gorshenina o.	30
1161	shirshov a.	30
2779	taha mohammed	30
717	wang lei	30
2491	briner andreas	30
103	makhambetov a.	30
2798	porter m. l.	30
3182	vargas pablo e.	30
2920	fitsner a.	30
2916	kuzakov v.	30
1953	nadezhdin sergey	30
36	shtepin d.	30
90	vasilyev d.	30
143	sosedkin dmitriy	28
2451	sepehrnoori kamy	28
123	zhernakov vladimir,	28
129	garcia m.	28
131	jiang hailong	28
1233	fornasier i.	28
1566	zadvornov dmitriy,	28
142	zadvornov dmitriy	28
551	petrakov yuriy,	28
1506	truba andrey	28
1228	naranjo m.	28
86	navarrete j.	28
2057	pavlov valeriy	28
3164	zhao chunduan	28
1990	ivashin maxim	28
2663	vega j.	28
1934	bauer s. j.	28
356	delgado p.	28
354	sobolev alexey,	28
2856	ivashin maxim,	28
2828	henson r.	28
2805	paladines a.	28
1406	zhernakov vladimir	28
400	grachev oleg	28
2314	steiner stefan	28
24	falser simon	28
1418	petrakov yuriy	28
2022	gordon c.	28
1924	grachev oleg,	28
34	sobolev alexey	28
2398	valbuena franklin	28
1956	pavlov valeriy,	28
3031	gaynanov ilnur,	28
1674	gaynanov ilnur	28
2700	bourge j. p.	28
1965	dymov sergey,	28
3300	sosedkin dmitriy,	28
2211	lafournere j. p.	28
42	truba andrey,	28
425	sanchez m.	28
1237	elrafie emad a.	26
1005	karra s.	26
2145	vassilellis george	26
