	name	degree
287	schlumberger	124
588	halliburton	56
21	the university of texas at austin	42
0		36
200	university of alberta	34
665	university of calgary	32
556	university of oklahoma	32
421	baker hughes	30
595	saudi aramco	24
302	colorado school of mines	22
640	china university of petroleum	22
41	kuwait oil company	22
454	weatherford	20
154	massachusetts institute of technology	18
48	the pennsylvania state university	18
864	shell international exploration and production inc.	16
645	lawrence berkeley national laboratory	16
839	bp	14
613	baker hughes inc.	14
721	sintef petroleum research	14
204	swisstopo	14
553	adco	12
211	petroamazonas ep	12
562	aix-marseille university	12
304	university of waterloo	12
227	petrochina research institute of petroleum exploration & development	12
367	texas tech university	12
865	csiro	12
549	amirkabir university of technology	10
328	environ italy	10
798	kyoto university	10
758	university of pittsburgh	10
745	sandridge	10
131	amec foster and wheeler	10
135	university of california san diego	10
309	university of california riverside	10
308	gsi environmental inc.	10
676	eth zurich	10
292	texas a&m university	10
832	lawrence livermore national laboratory	10
429	china university of mining & technology	10
450	sm energy	10
175	university of arizona	10
264	curtin university	10
481	petronas carigali sdn bhd	10
580	university of texas austin	10
243	southwest jiaotong university	10
535	university of texas	10
565	university of minnesota	10
831	university of tehran	10
337	harvard university	10
868	california state polytechnic university	10
856	pacific gas and electric company	10
20	politecnico di torino	10
836	petrochina	10
589	pogc co.	8
445	shell exploration & production company	8
722	exxonmobil production co.	8
724	schlumberger; lawrence livermore national laboratory	8
452	shell china p&t	8
742	irsn/prp-dge/srtg	8
34	exxonmobil international ltd.	8
744	exxonmobil upstream research co. (emurc)	8
372	south oil company iraq	8
835	rds baker hughes	8
463	rumaila operating organization	8
3	university of sao paulo	8
713	fracgeo	8
120	mapsa co.	8
770	state key laboratory of petroleum resources and prospecting china university of petroleum beijing	8
699	exxonmobil development co.	8
168	ibm research	8
129	aim geoanalytics	8
165	geomechanica inc.	8
404	_	8
405	university of north dakota	8
42	queen’s university	8
653	bp exploration (alaska) inc.	8
158	los alamos national laboratory	8
654	eth	8
656	total s.a,	8
657	repsol ctr	8
208	etseccpb (school of civil engineering); upc (technical university of catalonia),	8
869	university of california irvine	8
539	university of tehran; mapsa co.	8
857	british petroleum	8
225	china university of petroleum beijing	8
343	core specialist services	8
59	emurc	8
552	university of louisiana at lafayette	8
785	bp america	8
781	sugar land	8
324	epslog	8
469	university of houston	8
561	repsol technology hub	8
518	baker hughes inc	8
332	schlumberger doll research	8
862	exxonmobil development company	8
477	sonatrach	8
437	petroleum development oman	6
248	china univerisity of petroleum	6
631	mit	6
632	department of petroleum engineering china university of petroleum	6
633	research institute of drilling engineering and technology cnpc xibu drilling engineering company limited	6
174	encana services company and degolyer and macnaughton canada	6
564	northeastern university	6
35	shell brasil exploration and production	6
495	rn-yuganskneftegaz	6
229	eni s.p.a	6
643	state key laboratory of petroleum resources and prospecting in cupb	6
484	ideal oil & gas connections inc.	6
246	pluspetrol peru corporation s.a	6
845	research institue of exploration & development of changqing oilfiled company petrochina	6
646	university of british columbia	6
244	ntnu	6
157	sandia national laboratories	6
513	university of petroleum & energy studies	6
423	aera energy	6
490	bashkir state university	6
618	computer modelling group	6
442	rosneft oil company	6
621	santos	6
567	halliburton–landmark	6
571	shell international exploration & production inc.	6
572	shell global solutions international b.v.	6
476	eni algeria	6
557	ept international	6
575	tarbiat modares university	6
456	pluspetrol norte s.a	6
576	fugro geoconsulting limited	6
848	norwegian university of science and technology (ntnu)	6
662	china university of mining and technology	6
195	china university of petroleum (east china)	6
585	gray geophysical limited	6
586	consultant	6
52	petronas carigali sdn bhd.	6
855	university of london	6
846	abu dhabi marine operating co.	6
187	shell global solutions (us) inc.	6
602	aramco research center––houston	6
610	devon energy	6
33	ypf s.a.	6
23	repsol	6
181	ministry of education key laboratory of petroleum engineering in cupb	6
444	ypf tecnologia sa	6
843	pennstate university	6
499	university of cergy-pontoise	6
6	university of utah	6
728	petrochina great wall drilling company	6
67	bp international limited	6
386	islamic azad university	6
771	omv	6
381	schlumberger - doll research	6
720	rockfield software ltd.	6
837	omv new zealand	6
725	louisiana tech university	6
726	uc-berkeley	6
7	cnooc energy technology & services ltd.	6
106	rn-ufanipineft	6
380	bauer maschinen gmbh	6
802	montana emergent technologies	6
732	china petroleum technology & development corporation	6
733	schlumberger carbon services	6
146	carbo ceramics	6
735	khalifa university	6
378	encana services company and penn west petroleum	6
357	southern company	6
4	pinnacle–a halliburton service	6
80	shandong energy longkou mining groop co. ltd,	6
370	king fahd university of petroleum & minerals	6
86	petrobras	6
