topic	token	weight
sbj_0_0	production	0.06166043132543564
sbj_0_0	the	0.06104128807783127
sbj_0_0	sand	0.04997630417346954
sbj_0_0	and	0.047446802258491516
sbj_0_0	of	0.02856738679111004
sbj_0_0	to	0.02462463639676571
sbj_0_0	in	0.020952323451638222
sbj_0_0	well	0.017905382439494133
sbj_0_0	field	0.015337038785219193
sbj_0_0	for	0.015256313607096672
sbj_0_0	a	0.015039230696856976
sbj_0_0	is	0.01143847219645977
sbj_0_0	reservoir	0.010172008536756039
sbj_0_0	wells	0.010007794946432114
sbj_0_0	with	0.008151586167514324
sbj_0_0	development	0.007760843262076378
sbj_0_0	management	0.007435183506458998
sbj_0_0	 	0.007106699049472809
sbj_0_0	that	0.0067274547182023525
sbj_0_0	completion	0.006651946809142828
sbj_0_1	the	0.05878052860498428
sbj_0_1	of	0.050053082406520844
sbj_0_1	and	0.026630381122231483
sbj_0_1	to	0.02041664347052574
sbj_0_1	in	0.018650531768798828
sbj_0_1	rock	0.01720494031906128
sbj_0_1	is	0.012319952249526978
sbj_0_1	a	0.01210761722177267
sbj_0_1	creep	0.011124645359814167
sbj_0_1	as	0.009591135196387768
sbj_0_1	deformation	0.008059551939368248
sbj_0_1	with	0.0077921985648572445
sbj_0_1	this	0.007779924664646387
sbj_0_1	by	0.007690833881497383
sbj_0_1	for	0.007390922401100397
sbj_0_1	were	0.007203035056591034
sbj_0_1	model	0.0062024351209402084
sbj_0_1	on	0.006179371383041143
sbj_0_1	was	0.006029683630913496
sbj_0_1	at	0.005684065166860819
sbj_0_2	the	0.06366918981075287
sbj_0_2	and	0.043658409267663956
sbj_0_2	in	0.039251040667295456
sbj_0_2	of	0.029811304062604904
sbj_0_2	a	0.025754889473319054
sbj_0_2	flow	0.022163042798638344
sbj_0_2	model	0.016970710828900337
sbj_0_2	is	0.016440702602267265
sbj_0_2	to	0.016136979684233665
sbj_0_2	for	0.015546314418315887
sbj_0_2	coupled	0.011842167004942894
sbj_0_2	fluid	0.011543490923941135
sbj_0_2	this	0.010750457644462585
sbj_0_2	stress	0.009800197556614876
sbj_0_2	on	0.009438209235668182
sbj_0_2	reservoir	0.008691643364727497
sbj_0_2	numerical	0.008136697113513947
sbj_0_2	are	0.007017733529210091
sbj_0_2	simulation	0.0069006578996777534
sbj_0_2	we	0.006612696684896946
sbj_0_3	the	0.06444057822227478
sbj_0_3	of	0.040167760103940964
sbj_0_3	and	0.030164068564772606
sbj_0_3	a	0.02822410687804222
sbj_0_3	to	0.024650488048791885
sbj_0_3	in	0.01842217892408371
sbj_0_3	for	0.013418713584542274
sbj_0_3	was	0.011871281079947948
sbj_0_3	is	0.009477530606091022
sbj_0_3	by	0.008572421036660671
sbj_0_3	this	0.008344006724655628
sbj_0_3	co2	0.008320702239871025
sbj_0_3	that	0.007574241608381271
sbj_0_3	on	0.007481361273676157
sbj_0_3	data	0.007047517690807581
sbj_0_3	oil	0.006987693253904581
sbj_0_3	are	0.006921952590346336
sbj_0_3	were	0.0061569963581860065
sbj_0_3	reservoir	0.006092998664826155
sbj_0_3	as	0.006047412287443876
sbj_0_4	the	0.059000637382268906
sbj_0_4	and	0.041977811604738235
sbj_0_4	of	0.039732933044433594
sbj_0_4	to	0.02337341196835041
sbj_0_4	in	0.022110480815172195
sbj_0_4	a	0.015426901169121265
sbj_0_4	are	0.00924658216536045
sbj_0_4	for	0.009140250273048878
sbj_0_4	that	0.007768433541059494
sbj_0_4	is	0.007016764022409916
sbj_0_4	cement	0.006975224707275629
sbj_0_4	design	0.0066479891538619995
sbj_0_4	drilling	0.00654726242646575
sbj_0_4	this	0.006533212494105101
sbj_0_4	with	0.005961308721452951
sbj_0_4	on	0.005891056265681982
sbj_0_4	these	0.0058058155700564384
sbj_0_4	pipeline	0.005318192299455404
sbj_0_4	 	0.005238345358520746
sbj_0_4	uncertainty	0.004817324224859476
sbj_0_5	the	0.07779528945684433
sbj_0_5	of	0.057502344250679016
sbj_0_5	and	0.03527553007006645
sbj_0_5	salt	0.030170824378728867
sbj_0_5	a	0.028132371604442596
sbj_0_5	to	0.020603101700544357
sbj_0_5	in	0.017560763284564018
sbj_0_5	is	0.017157496884465218
sbj_0_5	for	0.013926100917160511
sbj_0_5	model	0.009783685207366943
sbj_0_5	waste	0.008217860013246536
sbj_0_5	creep	0.007528166752308607
sbj_0_5	as	0.0072771054692566395
sbj_0_5	on	0.007231785915791988
sbj_0_5	are	0.007068374194204807
sbj_0_5	by	0.00666598416864872
sbj_0_5	rock	0.006644424982368946
sbj_0_5	this	0.0062363408505916595
sbj_0_5	an	0.0053811208344995975
sbj_0_5	repository	0.005323298741132021
sbj_0_6	the	0.0684480369091034
sbj_0_6	of	0.045512568205595016
sbj_0_6	and	0.030991120263934135
sbj_0_6	to	0.027746131643652916
sbj_0_6	a	0.02549121342599392
sbj_0_6	in	0.02305540442466736
sbj_0_6	is	0.012711758725345135
sbj_0_6	with	0.010794321075081825
sbj_0_6	that	0.009012693539261818
sbj_0_6	co2	0.008870581164956093
sbj_0_6	this	0.008114172145724297
sbj_0_6	drilling	0.007972183637320995
sbj_0_6	for	0.007934704422950745
sbj_0_6	was	0.00734069524332881
sbj_0_6	well	0.006704547442495823
sbj_0_6	which	0.006041216664016247
sbj_0_6	from	0.005812161136418581
sbj_0_6	acid	0.005704892799258232
sbj_0_6	an	0.005024003330618143
sbj_0_6	on	0.004936885554343462
sbj_0_7	the	0.0784512534737587
sbj_0_7	and	0.03822048380970955
sbj_0_7	of	0.029828963801264763
sbj_0_7	to	0.02642502635717392
sbj_0_7	in	0.02334127202630043
sbj_0_7	a	0.015283948741853237
sbj_0_7	system	0.013308816589415073
sbj_0_7	for	0.012502388097345829
sbj_0_7	production	0.01005894411355257
sbj_0_7	is	0.00971656758338213
sbj_0_7	was	0.00813303329050541
sbj_0_7	this	0.007361908443272114
sbj_0_7	were	0.006962200161069632
sbj_0_7	with	0.006754616741091013
sbj_0_7	as	0.006629380397498608
sbj_0_7	gas	0.006522101350128651
sbj_0_7	from	0.006299456115812063
sbj_0_7	an	0.0059157018549740314
sbj_0_7	well	0.00554848974570632
sbj_0_7	on	0.005507548805326223
sbj_0_8	the	0.0698632150888443
sbj_0_8	of	0.033266209065914154
sbj_0_8	to	0.02750384248793125
sbj_0_8	in	0.027141766622662544
sbj_0_8	and	0.02528783492743969
sbj_0_8	a	0.01577492244541645
sbj_0_8	is	0.011251924559473991
sbj_0_8	that	0.010779662057757378
sbj_0_8	water	0.010698506608605385
sbj_0_8	by	0.00957171618938446
sbj_0_8	with	0.008091907948255539
sbj_0_8	production	0.007465430535376072
sbj_0_8	be	0.007378172595053911
sbj_0_8	from	0.007311004213988781
sbj_0_8	on	0.006712346337735653
sbj_0_8	as	0.005980342626571655
sbj_0_8	for	0.005388136487454176
sbj_0_8	model	0.005359131842851639
sbj_0_8	well	0.005223957821726799
sbj_0_8	this	0.005207682494074106
sbj_0_9	the	0.10284435003995895
sbj_0_9	of	0.049045320600271225
sbj_0_9	in	0.040107518434524536
sbj_0_9	a	0.022787606343626976
sbj_0_9	to	0.01985694095492363
sbj_0_9	and	0.01940164342522621
sbj_0_9	this	0.011295159347355366
sbj_0_9	that	0.01011932734400034
sbj_0_9	by	0.008695351891219616
sbj_0_9	be	0.008129534311592579
sbj_0_9	is	0.007809302303940058
sbj_0_9	are	0.00770168611779809
sbj_0_9	well	0.007672743406146765
sbj_0_9	geomechanical	0.007033831439912319
sbj_0_9	was	0.006388626992702484
sbj_0_9	for	0.006039731204509735
sbj_0_9	as	0.005461986176669598
sbj_0_9	with	0.0054473779164254665
sbj_0_9	on	0.005423795897513628
sbj_0_9	at	0.005254973191767931
sbj_0_10	the	0.09093046933412552
sbj_0_10	and	0.03773825615644455
sbj_0_10	to	0.028222769498825073
sbj_0_10	of	0.026388924568891525
sbj_0_10	in	0.022020921111106873
sbj_0_10	data	0.020928964018821716
sbj_0_10	seismic	0.01802602969110012
sbj_0_10	a	0.017324957996606827
sbj_0_10	with	0.011875877156853676
sbj_0_10	is	0.011766541749238968
sbj_0_10	for	0.010012505576014519
sbj_0_10	are	0.008541674353182316
sbj_0_10	from	0.008261908777058125
sbj_0_10	geomechanical	0.008114431984722614
sbj_0_10	that	0.007777615915983915
sbj_0_10	as	0.007661838550120592
sbj_0_10	this	0.007011172827333212
sbj_0_10	models	0.0069366274401545525
sbj_0_10	we	0.0068800123408436775
sbj_0_10	well	0.006283732131123543
sbj_0_11	the	0.05572804436087608
sbj_0_11	and	0.055378880351781845
sbj_0_11	of	0.034059204161167145
sbj_0_11	to	0.030918503180146217
sbj_0_11	a	0.01705065183341503
sbj_0_11	in	0.015899302437901497
sbj_0_11	with	0.009303944185376167
sbj_0_11	for	0.008854256942868233
sbj_0_11	on	0.0077652097679674625
sbj_0_11	is	0.007615257054567337
sbj_0_11	as	0.0070357308723032475
sbj_0_11	by	0.006810486316680908
sbj_0_11	that	0.0067738937214016914
sbj_0_11	reservoir	0.006761312019079924
sbj_0_11	are	0.00644648214802146
sbj_0_11	geomechanical	0.0060996622778475285
sbj_0_11	fault	0.005928879138082266
sbj_0_11	these	0.005901497323065996
sbj_0_11	this	0.005852897185832262
sbj_0_11	from	0.005283878184854984
sbj_0_12	the	0.07022542506456375
sbj_0_12	of	0.032784171402454376
sbj_0_12	to	0.027813326567411423
sbj_0_12	in	0.026256999000906944
sbj_0_12	a	0.022111928090453148
sbj_0_12	and	0.020964983850717545
sbj_0_12	fracture	0.019672811031341553
sbj_0_12	is	0.01957780495285988
sbj_0_12	for	0.011433242820203304
sbj_0_12	this	0.010160334408283234
sbj_0_12	that	0.009325702674686909
sbj_0_12	by	0.008766715414822102
sbj_0_12	from	0.008504705503582954
sbj_0_12	with	0.008017593994736671
