topic_name	topic_n	first_token	first_token_w
sbj_0_0	10	production	0.06166043132543564
sbj_0_1	23	the	0.05878052860498428
sbj_0_10	14	the	0.09093046933412552
sbj_0_11	11	the	0.05572804436087608
sbj_0_12	16	the	0.07022542506456375
sbj_0_13	10	the	0.04926057532429695
sbj_0_14	13	the	0.09691514819860458
sbj_0_15	32	fracture	0.07136811316013336
sbj_0_16	18	the	0.05629836022853851
sbj_0_17	16	the	0.05408806353807449
sbj_0_18	13	the	0.06380447000265121
sbj_0_19	13	the	0.08153374493122101
sbj_0_2	23	the	0.06366918981075287
sbj_0_20	24	the	0.06348380446434021
sbj_0_21	14	the	0.05699620023369789
sbj_0_22	15	the	0.05186324566602707
sbj_0_23	21	the	0.060407936573028564
sbj_0_24	14	the	0.05792122334241867
sbj_0_25	16	the	0.09360853582620621
sbj_0_26	13	the	0.07594344019889832
sbj_0_27	16	the	0.07488513737916946
sbj_0_28	17	the	0.0930328369140625
sbj_0_29	15	shale	0.06322037428617477
sbj_0_3	18	the	0.06444057822227478
sbj_0_30	18	the	0.0873803198337555
sbj_0_31	16	the	0.08513368666172028
sbj_0_32	12	the	0.06523767113685608
sbj_0_33	14	the	0.0545198991894722
sbj_0_34	13	the	0.09393171221017838
sbj_0_35	15	the	0.053646109998226166
sbj_0_36	15	the	0.08005353063344955
sbj_0_37	20	the	0.0554843507707119
sbj_0_38	16	the	0.0674370527267456
sbj_0_39	18	the	0.1244237944483757
sbj_0_4	14	the	0.059000637382268906
sbj_0_40	13	the	0.061118703335523605
sbj_0_41	14	the	0.08266104012727737
sbj_0_42	15	the	0.05805139243602753
sbj_0_43	14	the	0.06056401878595352
sbj_0_44	17	the	0.059945423156023026
sbj_0_45	16	the	0.07441334426403046
sbj_0_46	11	the	0.06921754032373428
sbj_0_47	11	the	0.05692389979958534
sbj_0_48	18	the	0.0842723548412323
sbj_0_49	10	the	0.11797019839286804
sbj_0_5	24	the	0.07779528945684433
sbj_0_50	18	the	0.07820810377597809
sbj_0_51	16	the	0.047649089246988297
sbj_0_52	18	the	0.07105918973684311
sbj_0_53	10	the	0.06981025636196136
sbj_0_54	12	the	0.05101855471730232
sbj_0_55	14	the	0.09930726885795593
sbj_0_56	20	the	0.05422460660338402
sbj_0_57	13	the	0.055543143302202225
sbj_0_58	11	the	0.0902707502245903
sbj_0_59	15	the	0.05401010066270828
sbj_0_6	12	the	0.0684480369091034
sbj_0_60	12	the	0.06379152834415436
sbj_0_61	18	the	0.05058318004012108
sbj_0_62	17	the	0.04644609987735748
sbj_0_63	16	the	0.07896168529987335
sbj_0_7	14	the	0.0784512534737587
sbj_0_8	15	the	0.0698632150888443
sbj_0_9	20	the	0.10284435003995895
