,Unnamed: 0,id_df,title_df,author_df,abstract,keywords,labels
0,1,JFES-2016-P,Understanding LWD Quadrupole Shear in Anisotropic Environments,"Blyth, Matthew, Schlumberger Technology Corp.| Sakiyama, Naoki, Schlumberger K.K| Iritani, Ryohei, Schlumberger K.K| Yamamoto, Hiroaki, Schlumberger K.K| Valero, Henri-Pierre, Schlumberger K.K","|Abstract |Quadrupole shear is now a ubiquitous measurement from Logging While Drilling (LWD) acoustic tools and offers a robust and reliable method of delivering formation shear information in slow formations. The general increase in the use of LWD measurements worldwide has meant that LWD acoustics measurements are being made in a greater variety of hole sizes, borehole conditions and formation types than ever before. These include a variety of anisotropic formations such as those encountered in unconventional operations. Where anisotropy is present then its correct characterization can be critically important for a variety of applications including seismic processing, geomechanics and wellbore stability, completions design and production management. |The non-uniquely directional nature of the quadrupole mode means that it is not yet possible to reliably extract the fast and slow shear anisotropy information from quadrupole data. Dipole tools are commonly used as solutions when this information is needed. Dipole measurements are currently only routinely available on wireline devices due to the large coupling of the dipole mode with the collar mode. Unipole devices are also used in certain situations. However in many cases quadrupole and/or monopole may be the only shear measurement methods used on a particular well. This brings up the question – what does the quadrupole actually measure in anisotropic formations and how is the data sensitive to such an environment? |This paper explores the effect of anisotropy on the quadrupole mode, its azimuthal sensitivity, what it measures and its limitations in anisotropic formations. The effects of anisotropy on the quadrupole dispersions are discussed along with ways to determine the presence of anisotropy based upon the results of the quadrupole inversion processing. Numerical modeling in anisotropic formations coupled with data examples are presented, including dispersion plots, that demonstrate these effects and explain the techniques used.|",,28
1,2,JFES-2016-K,"Advanced Electrofacies Modelling and Permeability Prediction: A Case Study Incorporating Multi-Resolution Core, NMR and Image Log Textural Information Into a Carbonate Facies Study","Criollo, Darling, PARADIGM Geophysical| Marin, Zureisy, PDVSA-INTEVEP| Vasquez, Diego, PARADIGM Geophysical","|Abstract |This study covers a methodology applied by PDVSA-INTEVEP in collaboration with Paradigm Geophysical to evaluate a carbonate gas and condensate reservoir, located offshore in West Venezuela. The main goal of this study is to effectively account for the high heterogeneity of the rock fabric and associated high variability in permeability encounter on the reservoir, despite of showing porosity values uniformly distributed. |This carbonate reservoir is clearly subdivided in two different sections: a Lower Section, comprise of mostly rudstone and floatstone, preserving micro-porosities in some bioclasts and carbonate mud, defining a unimodal pore distribution and size, with a small pore throat radius. The Upper Section presents primarily coarse-grained limestones(rudstone) preserving primary and secondary porosities, causing a variable distribution of pores and a heterogeneous pore throat radius associated with the particle micro-fracturing contribution (Criollo and Marin, 2015). |For this study, a reference well with a comprehensive dataset was selected, that included Core data (Sedimentological facies, Porosity and Permeability), Micro-resistivity Images and NMR data. The images were used to quantify with high resolution the rock fabric changes seen on the formation. Similarly, the whole NMR T2 distribution was used to account for changes in the pore system. This information was then combined with standard petrophysical logs and core facies using the Multi Resolution Graph-Based clustering method, to produce detailed electrofacies models, focusing on honouring the rock fabric and pore distribution in the reservoir. |These detailed electrofacies models constructed were then calibrated with core data, allowing to predict permeabilities on sections of the well not covered by the original core, as well as on neighbouring wells, where no core data was available.|",,8
2,3,184142-MS,Hybrid System Maximizes ROP and Minimizes Drilling Cost in Large Diameter Directional Application,"Omar, M., Baker Hughes Inc.| Al Enezi, Dakhil, Kuwait Oil Company| El Halwagy, A., Kuwait Oil Company| Goswami, B., Kuwait Oil Company| Al-Mekhyal, A., Kuwait Oil Company| Muqaddas, Z. A., Kuwait Oil Company| Elgharbawy, M., Kuwait Oil Company| Omar, M., Baker Hughes Inc.| Abdelhamid, Atef, Baker Hughes Inc.| Agawani, Waleed, Baker Hughes Inc.| Taha, M., Baker Hughes Inc.","|Abstract 
In the current economic downturn, operators direct more focus to cost optimization through process enhancement and innovative approach. Specifically in South East Kuwait field, where new well profiles are being employed to reach a deeper pay zone directionally. These new well profiles require the 16 inch hole section to be drilled deeper with inclination through interbedded abrasive sandstones and sticky shale; which were previously drilled in 12 <U+00BC> inch hole size. Drilling becomes increasingly challenging using larger diameter bits where torque fluctuations, down-hole conditions and durability limit performance. The purpose of this paper is to demonstrate the engineering analysis for directional large diameter hole application and the selection of an optimized hybrid drill bit design, roller cone combined with Polycrystalline Diamond Compact (PDC), to maximize drilling performance where standard PDC or roller cone bits alone fail to provide an optimal solution. 
The 16 inch directional section was typically drilled using a mud motor assembly with a roller cone bit or a PDC. Drilling parameters were reduced in the upper layers especially with PDC bits as they involve sticky shale which can induce bit balling. While in the lower layers the abrasive formations tend to wear down roller cone bits. 
Selecting an appropriate hybrid design with an optimized drilling system for the application resulted in a breakthrough performance; tripling the Rate Of Penetration (ROP) of conventional technology. The time saving achieved was worth $250,000 for this section. 
PDC bits generally provide faster rate of penetration than roller cone bits while generating higher torque fluctuations as they drill by shearing bottom hole formation. Due to their high torque demands, PDC bits require an additional mud motor to drive them efficiently in larger hole sizes. Roller cones crush and gouge the bottom hole formation and due to their mechanical rollers result in reduced reactive torque and a smoother hole profile. Hybrid drill bit technology proven the capability of achieving the benefits of both designs in specific selected applications.|","Breakthroug Performance, Drilling Efficiency Maximization, Reducing drilling Days, Hybrid Technnology Deployment, Engineering Design Optimization",13
3,4,184104-MS,A Novel Approach for Far-Field Stress Evaluation in Shallow Heavy Oil Formation,"Ahmed, Khalid, Kuwait Oil Company| Taqi, Fatma, Kuwait Oil Company| Ahmad, Fatma, Kuwait Oil Company| Kumar Subbiah, Surej, Schlumberger| Devkar, Sambhaji, Schlumberger","|Abstract 
Steam injection by Cyclic Steam Stimulation (CSS) and Steamflood (SF) are the selected enhanced oil recovery methods in a Kuwait shallow formation. Initial single wells and recent 5-spot pilots for CSS has production affected by sanding issues from the unconsolidated formation. A robust reservoir geomechanical model and cap rock integrity characterization on a field scale is a prerequisite for successful design and implementation of the two target steam-based EOR techniques for commercial exploitation. 
Conventional geomechanical modeling approaches normally depend on history matching of the in-situ rock failure. However, lack of quality data measurements for minimum and maximum horizontal stress was major challenge for soft sediment rock. 
Unconsolidated formation have their own inherent issues. Rock being weak and soft, it has low strength, as exhibited by the unconfined compressive strength (UCS). It also has comparatively lower values for the elastic moduli. Most of the time, the Leak Off Tests (LOT) carried out in such formation lead to inconclusive and questionable interpretation, as the pressure regime used is extremely low and this leads to uncertainty in stress measurement. Any thermal EOR project in such shallow-depth and unconsolidated formation heavily relies on a competent cap rock in place, whose integrity under the combined effect of thermo-mechanical-stress can be put to severe test. 
To overcome the challenges of: a) weak soft sediments having low rock strength and elastic moduli, b) uncertainty in the stress measurement, c) inconclusive interpretation of leak off tests (LOT), a novel method was suggested. An Integrated Stress Analysis (ISA) approach was used for geomechanical modeling to evaluate magnitude of horizontal stresses from advanced sonic measurements and 3D dipole radial profiles. Data can be further used for estimating rock mechanical properties, stress orientation and Transverse Isotropy of Vertical symmetry axis (TIV) parameters. 
A comprehensive anisotropic geomechanical model was built from the ISA and advanced 3D sonic output, which was validated using results from independently acquired minifracs run in offset wells. 
This model could accurately predict potential drilling hazards and wellbore breakout. More than 10% acoustic anisotropy in horizontal stress was also found in sand intervals, which requires more careful approach while deciding the injection parameters. Multi-well analysis and geomechanical modeling also indicated variation in horizontal stresses ratio and direction across the field. 
This paper provides a new approach for stress estimation of shallow heavy oil formation demonstrating how rock can behave as anisotropic material from sonic measurements, resulting in better constrain of tectonic and effective stresses. As special tool required to conduct minifrac in each wells and it is costly, using this novel approach to estimate stress magnitude is preferred.|","Integrated Stress Analysis, 3D Dipole radial profile, geomechanical modeling, Shallow heavy oil formation, Minifrac",26
4,5,184151-MS,Application of State of The Art Interpretation Techniques in Minifrac Analysis in an Unconsolidated Reservoir,"Bagheri, M., Kuwait Oil Company| Choudhary, P. K., Kuwait Oil Company| Al-Matrook, M. F., Kuwait Oil Company| Al-Sane, A., Kuwait Oil Company| Baroon, H., Kuwait Oil Company","|Abstract 
Selection of adequate thermal operating parameters to ensure fluid containment and cap rock integrity under high-temperature, high-pressure steam injection is vitally important. Cap rock integrity is controlled by the mechanical properties of the rocks and the in-situ and applied stresses resulting from field operations. This paper describes recent minifrac tests carried out in the Lower Fars formation in South Ratqa Field in northern Kuwait to determine the in-situ stresses. 
The main objective of the field tests was to obtain the minimum horizontal stress using a variety of Before Closure Analysis (BCA) techniques. A secondary objective was to perform After Closure Analysis (ACA) to obtain reservoir parameters such as permeability and initial pressure. All of this data is used as input into subsequent geomechanical studies. For BCA, it is important to identify various fluid flow regimes in the fall-off portions of the tests. The end of particular flow regimes indicates fracture closure. Fracture closure and the resultant minimum horizontal stress are therefore based on sound engineering principles. 
The cases presented in this paper provide further evidences that a combination of various techniques is the best approach to identify the minimum horizontal stress. No single methodology provides a reliable answer in all cases. Field examples are given to illustrate the practical application of these techniques.|","Mini-frac, minimum horizontal stress, Heavy Oil, Unconsolidated Reservoirs",19
5,6,184107-MS,An Approach to Mitigate Subsidence in Soft Rocks through Coupling Surface Tiltmeter and Injection/Production Data,"Temizel, Cenk, Aera Energy| Kirmaci, Harun, Turkish Petroleum| Inceisci, Turgay, Turkish Petroleum| Wijaya, Zein, HESS| Balaji, Karthik, University of Southern California| Suhag, Anuj, University of Southern California| Ranjith, Rahul, University of Southern California| Tran, Minh, University of Southern California| Al-Otaibi, Basel, Kuwait Oil Company| AlKouh, Ahmad, College of Technological Studies| Zhu, Ying, University of Southern California| Yegin, Cengiz, Texas A&M University","|Abstract 
Diatomites are high-porosity, low-permeability reservoirs with elastoplastic properties and high geo-mechanical responsiveness. They have a great potential for oil recovery despite these drawbacks. Withdrawal of fluids from the reservoir rock leads to subsidence causing compaction and shear stresses. This disturbed stress distribution results in well failures that causes loss of millions of dollars. Successful maintenance of pressure support through optimum injection/production is key to preventing subsidence to mitigate the risk of well failure and achieve better sweep efficiency for recovery. 
There have been different approaches to tackle subsidence and well failures in diatomites, including the use of ‘backpressure method’, coupled with a neural network to optimize injection-production to ‘balance’ the rock in terms of stress-distribution and thus decrease well failure due to shearing. However, using such methods may mask other problems the well is experiencing including several mechanical issues that influence production. Another existing approach, satellite-imaging (InSAR) cannot be used to take real-time actions that is crucial in diatomites. 
Surface tiltmeter data is collected to undertsand the relationship between injection/production and resulting surface deformation, which also provides information about well-to-well connectivity. A neural network-based approach is followed to determine the nonlinear relationship between surface subsidence/dilation and injection-production. This is then used to build an objective function that works to minimize the differences between well-to-well subsidence/dilation measured by the tiltmeters, by adjusting injection-production for the wells. 
In this paper, a method that harnesses real-time surface tiltmeter data to adjust injection-production distribution in diatomites to decrease well failures is used beyond the existing applications of surface tiltmeter, for instance, in the areas of detection of early steam breach to surface in steam operations and fracture orientation. This method also provides real-time data for robust reservoir management of such reservoirs where satellite imaging is not effective.|","surface deformation, neural networks, geomechanics, subsidence, tiltmeters",23
6,7,184146-MS,Heavy Oil - Produced Water Polishing with Compact Flotation Technology,"Asdahl, S., Schlumberger| Maelum, M., Schlumberger| Rabe, K., Schlumberger","|Abstract 
For light and medium crude oil produced waters, the compact flotation unit (CFU) technology has been widely used as the final cleaning step in the process during the last 10 years, especially in Europe. In general, more traditional methods such as induced gas flotation (IGF) and dissolved gas flotation (DGF) are more commonly applied on heavy crude oil-produced waters. The CFU technology has been preferred over the more traditional technologies due to substantially reduced weight and footprint combined with superior cleaning efficiency. 
This paper describes efforts related to examining the effectiveness and applicability of using CFU technology in heavy crude oil produced water (PW) polishing and comparing the results with polishing produced water from light and medium crude oil. Experimental work was conducted in a water test setup in which synthetic produced water with different crude oils (13.7–39.7° API gravity) was tested for flotation efficiency using a proprietary compact flotation unit. A literature study was performed to support the experimental results. Furthermore, field data were collected from field trials using the proprietary compact flotation unit technology with produced water containing crude oils in the 17–43° API gravity range. 
Experimental results showed that for a given crude oil type, the oil removal efficiency is dependent on oil droplet size, and these results are supported by the literature. Comparing different API gravity crude oils with the same droplet size showed, in general, a slightly reduced flotation efficiency with increasing gravity, which could be explained by the correlation between increasing gravity and increasing coverage time. 
However, field data for 17–43° API gravity crude oil show the ability for the proprietary compact flotation unit technology to meet normal effluent requirements (<U+2264> 25 ppm) over the full API gravity range. Field data further emphasizes the importance of preparing optimum process conditions for the flotation unit. 
Despite of the low retention time compared to traditional IGF and DGF technology, the compact flotation technology has proven to be robust for heavy-oil treatment. This result is partially explained by the fact that induction and coverage times are shorter in turbulent flow regimes than in traditional laminar flotation environments. Furthermore, the proprietary compact flotation unit technology combines both induced and dissolved flotation with vessel internals that effectively minimizes the rise path. 
It should be emphasized that these findings relate to the examined CFU models only because the various models have different technologies that will lead to different performances.|","environment, produced water treatment, field data comparison, compact flotation, heavy crude oil",9
7,8,184144-MS,"Geosteering Application in Heavy Oil Environment, Study Case in North Kuwait","Sitinjak, Eri Sarmantua, Bakerhughes| Hasan, Fawwaz, Bakerhughes| Abbas, Faisal Fadel, KOC| Choudhary, Predeep Kumar, KOC","|Abstract 
The field study is in northern part of Kuwait targeting heavy oil formation, known to be shallow unconventional oil reservoir. It is heterogeneous shallow sandstone reservoir (500ft TVD) with low maturity oil, has low natural pressure, and poorly consolidated. Mud losses known to be the main risk of horizontal drilling in shallow heavy oil environment and the heterogeneous including continuity of the sand are also challenging for geo-steering team in order to place the well in the optimum position. Seismic is not available, however due to high offset well density a good correlation map has been produced. We are using formation tops from offset wells to delineate the continuity of the sand and trend of the structure dipping, we called it as shooting point method, which is assuming the trend of the structure from one offset well to another nearby offset well. The resistivity contrast will be expected to give us around 9 ft depth of detection (DOD) for our Azitrak resistivity tool based on Picasso plot. We made some scenarios for exiting the reservoir and it showed us some early warning 80ft to 180 ft prior to exit the reservoir. We use Autotrak, Azitrak dan Litotrak formation evaluation and density imaging tool to geo-steer and optimally place the wellbore inside 1B sandstone. The expectation of drilling the lateral was below 1000ft MD due to wellbore stability issue. From the correlation of available offset well it is clearly seen, there are two sand bodies in heavy oil target sand. The thickness is around 30-40 ft TVD and the structure was expected to be flat or a little bit dipping down. The well was landed in the middle of 1B, based on correlation of actual landing point log data to the nearest offset wells. Distance to bed boundary (D2B) showed local conductive layer from bottom since drilling the lateral section, which was not the response of base of 1B sand. So it was recommended to go down in stratigraphy in order to place the trajectory at the bottom part of 1B sand. In order to minimize wellbore stability issue along the lateral section, Bakerhughes recommended to maintain consistent faster ROP (80-100ft/hr) and effective hole cleaning. In the middle of lateral section of well B (1750ft MD) the well trajectory was inverted for the optimum production purposes to total depth (2250ft MD). Total lateral length achieved is 1116ft MD which covers 100% of the lateral length. Shooting point method in defining the rough structure trend from one well to another well was effectively applicative in the field, where current structure after drilling the lateral section is almost flat or slightly dipping down same as predicted before.|","heavy oil, geosteering, breakout, unconsolidated sand, wellbore stability",30
8,9,AFRC-2554270-MS,Well Design and Successful Field Installation of Openhole Sand Control Completions with Acid Stimulation in a Highly Deviated Well in Vietnam,"Vu, Hung, Lam Son JOC| Tran, Son, Lam Son JOC| Nguyen, Trang, Lam Son JOC| Kannan, Bharathwaj, Halliburton| Tran, Khoa, Halliburton| Nguyen, Thong, Halliburton","|Abstract |Application of openhole sand control technology is becoming mandatory in the field, particularly with the given uncertainty in geomechanics, challenges to wellbore integrity while drilling, and sand production during the life of the well. The completion equipment readiness and success of the installation can be challenging in the event of extending the horizontal section to accommodate geological heterogeneity and maximizing well productivity. This paper discusses operational excellence recorded in Well A, in the Thang Long Field, offshore Vietnam, from well design perspectives ensuring maximum reservoir contact to outcome of well completion. |The well was targeted in the Oligocene reservoir, a thin oil rim with large gas cap overlay, and required drilling and completion for 1126 m horizontal length of 8 1/2-in. open hole. The completion design included multiple swellable packers for isolation of unwanted zones, 6 5/8-in. basepipe sand screens for the production zones, and a fluid loss control device to help prevent undesirable losses. Several torque and drag simulations were performed to help predict potential threats that could be encountered during completion string deployment or during space out of the inner wash pipe string. |One apparent challenge of this completion design was to deploy the lower completion string to total depth (TD) per stringent reservoir requirements, resulting in an approximate 1126 m length of the string in the horizontal section. Another task was to facilitate manipulating 1130 m of wash pipe inside the completion string to locate the seal assemblies accurately at the corresponding seal bore extension positions for effective acidizing treatment. Although these were long sections of completion string and wash pipe, the quality of acidizing stimulation to effectively remove mud cake should not be compromised to ensure positive production rates. |During operations, the completion string was run to target depth without any issue, and the wash pipe was spaced out and manipulated correctly. These operations subsequently led to a successful acidizing treatment and the proper closure of the flapper type fluid loss device. The completion design and operation were concluded successfully, significantly contributing to field production performance to date. |The novelty of the completion design and installation is the ability to deploy an 1126-m lower completion in long, highly deviated and horizontal openhole section coupled with acid stimulation in reasonable time and as per plan.|",,21
9,10,AFRC-2575150-MS,"Significant Production Improvement of UltraLow Permeability Granitic Reservoirs to Develop Heavy Black Oil, Utilizing Channel Fracturing Technique","Kortam, Mostafa Mahmoud, Petrobel| Siso, Samir, Petrobel| Abbas, Nelly Mohamed, Schlumberger Egypt| Salah, Ahmed, Petrobel| Hesam, Atef, Petrobel| Cilli, Andrea, Petrobel| Kamar, Ahmad, Schlumberger Egypt| Khafagy, Fatmaelzahraa, Schlumberger Egypt","|Abstract |The development of low quality reservoirs such as; low permeability, marginal assets, and unconventional resources has a several cost challenges pushing the industry toward maximizing the potentiality and optimizing the strategies of such high risk plays.  |Petrobel has a discovered one of such challenged asset and successfully conducted a comprehensive study to set the best development strategy to unleash this potential. SIDRI Area is a relatively new settlement with a reasonable hydrocarbon potential according to petrophysical analysis. The target formation of SIDRI wells is a sedimentary rock with granitic facies that consist of a series of tight conglomerates over an oil/water column of more than 900m. The pore system of this rigid and stiff formation consists of a micro natural fractures network with secondary cemented porosity. The production is mainly governed these tiny natural fractures that have a permeability as low as 0.1-0.5 md. Despite this tightness these series are separated by nonporous sections that occasionally exhibit as barrier and may introduce layering or subdivision of pay, however in sometimes permit a vertical communication between productive sections. Performed Cuttings analysis such as XRD, thin-sections showed a variety of minerals composition representing different lithology which in turn complicates the characterization of such reservoir. |On top of the unique mineralogy, the executions of fracturing treatment of SIDRI wells include multiple other challenges. The higher reservoir temperature and the formation depth cause a great constraint in terms of pumping rate and pressure. Besides, the non-availability of pumping equipment of high Horsepower restricts the pump rates and also limits the utilization of slick water frac. Even the nature and the quality of crude oil is quite challenged since it is a heavy black oil type and its composition contains high number of asphaltenic compounds accordingly the opportunity of creating sludge with treatment fluids is highly likely. The oil water viscosity ratio at reservoir condition represents a weighted obstacle for oil recovery that should be overcome. |The basic concept of applying hydraulic fracturing for these kinds of reservoirs is very simple, however the execution to get much more production improvement is quite difficult. Particularly the main idea here is to conduct a cost effective fracturing treatment with economical wisdom principle that can lead to achieve a greater oil recovery with best profitable model.|",,52
